argument;9;nom
possibility;9;nom
open;9;adj
brazilians;9;nr
reproduction;9;nom
map;9;nom
explain;9;ver
investigation;9;nom
medium;9;nom
purpose;9;nom
abolition;9;nom
occur;9;ver
nation;9;nom
database;9;nom
journal;9;nom
criminal;9;nom
cohort;9;nom
socio;9;nr
chance;9;nom
disease;9;nom
remain;9;ver
event;8;nom
ideology;8;nom
read;8;ver
write;8;ver
topic;8;nom
sociology;8;nom
institutional;8;nr
writer;8;nom
phenomenon;8;nom
fundamental;8;nom
involve;8;ver
enable;8;ver
origin;8;nom
collect;8;nom
create;8;ver
start;8;nom
essay;8;nom
favela;8;nr
exclusion;8;nom
bully;8;adj
private;8;adj
participate;8;ver
light;8;adj
domination;8;nom
south;8;nom
disparity;8;nom
attention;8;nom
territory;8;nom
modernity;8;nom
tradition;8;nom
lead;8;nom
19th;8;nr
modern;8;adj
occupation;8;nom
content;8;nom
sexual;8;nr
equality;8;nom
equity;8;nom
vulnerability;8;nom
employ;8;nom
decade;8;nom
articulation;8;nom
descendant;8;nom
average;8;nom
composition;8;nom
poverty;8;nom
girl;8;nom
unite;8;nom
participant;8;nom
regression;8;nom
district;8;nom
constitute;8;ver
character;8;nom
brasil;7;nr
pedagogical;7;nr
short;7;adj
numb;7;adj
gain;7;nom
dynamic;7;nom
emphasize;7;ver
discipline;7;nom
existence;7;nom
turn;7;nom
lack;7;nom
finally;7;nr
collection;7;nom
nature;7;nom
gap;7;nom
offer;7;nom
document;7;nom
mother;7;nom
emergence;7;nom
consequence;7;nom
evidence;7;nom
implication;7;nom
historically;7;nr
ses;7;nr
rate;7;nom
victim;7;nom
differential;7;nom
coloniality;7;nr
total;7;nom
continuity;7;nom
reason;7;nom
analytical;7;nr
agency;7;nom
relevant;7;nr
provide;7;ver
labour;7;nom
constitution;7;nom
express;7;nom
psychosocial;7;nr
porto;7;nr
grande;7;nr
reduce;7;ver
presence;7;nom
program;7;nom
ethnographic;7;nr
descriptive;7;nr
statistical;7;nr
assess;7;ver
relevance;7;nom
suffer;7;ver
immigrant;7;nom
hold;7;nom
recent;7;adj
metropolitan;7;nom
boy;7;nom
percentage;7;nom
trend;7;nom
user;7;nom
treatment;7;nom
dance;7;nom
anthropological;7;nr
recognition;7;nom
religion;7;nom
municipality;7;nom
dropout;7;nom
maria;7;nr
popular;7;nr
demand;7;nom
determinant;7;nom
se;7;nr
ic95perc;7;nr
survival;7;nom
condom;7;nom
target;6;nom
ideal;6;nom
organize;6;ver
undertake;6;ver
youth;6;nom
search;6;nom
1960s;6;nr
home;6;nom
verify;6;ver
answer;6;nom
tool;6;nom
obtain;6;ver
prejudice;6;nom
half;6;nom
20th;6;nr
statistic;6;nom
bibliographic;6;nr
latin;6;nr
strong;6;adj
act;6;nom
enslave;6;ver
resistance;6;nom
account;6;nom
distribution;6;nom
dispute;6;nom
intersect;6;ver
reproductive;6;nom
assume;6;ver
anthropology;6;nom
expression;6;nom
sector;6;nom
sociability;6;nom
migratory;6;nr
alegre;6;nr
sul;6;nr
marielle;6;nr
queer;6;adj
positive;6;adj
epistemological;6;nr
researcher;6;nom
mechanism;6;nom
agenda;6;nom
key;6;nom
democracy;6;nom
whiteness;6;nom
reinforce;6;ver
fully;6;nr
emerge;6;ver
small;6;adj
scope;6;nom
limit;6;nom
evident;6;nr
film;6;nom
criticism;6;nom
campaign;6;nom
8perc;6;nr
colour;6;nom
menstrual;6;nr
stress;6;nom
crt;6;nr
adopt;6;ver
maternal;6;nr
estimate;6;nom
english;6;nr
native;6;nom
cross;6;adj
generation;6;nom
french;6;nr
coverage;6;nom
pr;6;nr
classify;6;ver
orientation;6;nom
sample;6;nom
determine;6;ver
cura;6;nr
tie;6;nom
middle;6;nom
feminine;6;nom
implementation;6;nom
property;6;nom
household;6;nom
sickle;6;nom
cell;6;nom
bibliography;5;nom
integration;5;nom
foster;5;ver
dossier;5;nom
interface;5;nom
apparatus;5;nom
future;5;nom
legitimize;5;ver
theses;5;nom
advance;5;nom
curriculum;5;nom
grade;5;nom
conceptual;5;nr
semi;5;nom
real;5;adj
childhood;5;nom
respect;5;nom
diversity;5;nom
adult;5;nom
belo;5;nr
horizonte;5;nr
federation;5;nom
police;5;nom
institute;5;nom
direct;5;adj
spread;5;ver
encourage;5;ver
artistic;5;nr
disadvantage;5;nom
adjust;5;ver
achieve;5;ver
interest;5;nom
voice;5;nom
background;5;nom
attribute;5;nom
jazz;5;nom
pay;5;nom
definition;5;nom
kinship;5;nom
belief;5;nom
moral;5;nom
large;5;adj
southern;5;nom
respective;5;nr
subjectivity;5;nom
1990s;5;nr
onwards;5;nr
universidade;5;nr
favor;5;nom
goal;5;nom
contextual;5;nr
reduction;5;nom
intervention;5;nom
regional;5;nom
expansion;5;nom
regulation;5;nom
oppress;5;ver
ethnography;5;nom
exist;5;ver
contrast;5;nom
define;5;ver
variation;5;nom
fear;5;nom
publication;5;nom
selection;5;nom
nationality;5;nom
moment;5;nom
perceive;5;ver
birth;5;nom
apc;5;nr
engage;5;ver
complex;5;adj
ratio;5;nom
cinema;5;nom
guide;5;nom
mobility;5;nom
emotional;5;nr
ownership;5;nom
degree;5;nom
regressivity;5;nr
consideration;5;nom
original;5;nom
majority;5;nom
proportion;5;nom
textbook;5;nom
educate;5;ver
refer;5;ver
occupational;5;nr
recidivism;5;nom
comparison;5;nom
desire;5;nom
assumption;5;nom
bahia;5;nr
perform;5;ver
quota;5;nom
fashion;5;nom
ancestry;5;nom
food;5;nom
obesity;5;nom
retention;5;nom
std;5;nr
feature;4;nom
voz;4;nr
hygiene;4;nom
belong;4;ver
genocide;4;nom
plot;4;nom
ensure;4;ver
initiative;4;nom
prevalent;4;nr
centrality;4;nom
foundation;4;nom
expectation;4;nom
conflict;4;nom
list;4;nom
confirm;4;ver
vision;4;nom
transvestite;4;nom
imaginary;4;nom
today;4;nom
early;4;adj
learn;4;ver
elementary;4;nr
basis;4;nom
control;4;nom
photograph;4;nom
ideological;4;nr
impose;4;ver
tendency;4;nom
interlocutor;4;nom
oral;4;nom
aesthetic;4;nom
alternative;4;nom
atlantic;4;nr
crisis;4;nom
combination;4;nom
situate;4;ver
privilege;4;nom
aggressor;4;nom
reproduce;4;ver
multiple;4;nom
abaetê;4;nr
criolo;4;nr
fortaleza;4;nr
manifest;4;nom
strengthen;4;ver
exploitation;4;nom
africans;4;nr
advocate;4;nom
diasporic;4;nr
distribute;4;ver
insert;4;nom
precariousness;4;nom
land;4;nom
indigenous;4;nr
ceará;4;nr
declare;4;ver
peripheral;4;nom
neighborhood;4;nom
precarious;4;nr
proposition;4;nom
function;4;nom
conceptualize;4;ver
defend;4;ver
technology;4;nom
matrix;4;nom
cuban;4;nr
exchange;4;nom
eugenic;4;nr
biological;4;nom
formal;4;nom
capitalist;4;nom
speak;4;ver
insertion;4;nom
sphere;4;nom
hide;4;nom
periodical;4;nom
thematic;4;nr
bolsonaro;4;nr
continue;4;ver
oliveira;4;nr
path;4;nom
historiography;4;nom
historiographical;4;nr
elaboration;4;nom
illustrate;4;ver
expose;4;nom
basic;4;nom
mato;4;nr
configuration;4;nom
finding;4;nom
twentieth;4;nom
raça;4;nr
water;4;nom
domestic;4;nom
subordination;4;nom
resident;4;nom
interpret;4;ver
close;4;adj
previous;4;nr
vary;4;ver
salvador;4;nr
prevalence;4;nom
comment;4;nom
found;4;adj
series;4;nr
personal;4;nom
psychological;4;nr
visa;4;nom
elaborate;4;ver
combat;4;nom
epidemiological;4;nr
sectional;4;nom
capital;4;nom
0perc;4;nr
homosexual;4;nom
death;4;nom
benefit;4;nom
recognize;4;ver
item;4;nom
product;4;nom
war;4;nom
attitude;4;nom
critically;4;nr
activist;4;nom
collective;4;nom
explicit;4;nr
centre;4;nom
immigration;4;nom
discriminatory;4;nr
racialisation;4;nr
undergraduate;4;nom
poem;4;nom
quantitative;4;nr
inferiority;4;nom
european;4;nr
18th;4;nr
valid;4;adj
dose;4;nom
select;4;ver
archeology;4;nom
efficacy;4;nom
railroad;4;nom
company;4;nom
indirect;4;ver
criterion;4;nom
index;4;nom
relative;4;nom
creative;4;nr
justice;4;nom
segment;4;nom
al;4;nr
equitable;4;nr
phase;4;nom
fight;4;nom
active;4;nom
visual;4;nom
enter;4;ver
prepare;4;ver
evaristo;4;nr
interaction;4;nom
generate;4;ver
agent;4;nom
audiovisual;4;nom
en;4;nom
logistic;4;nom
shape;4;nom
appearance;4;nom
day;4;nom
textual;4;nr
colonization;4;nom
everyday;4;nr
connect;4;ver
medicine;4;nom
plan;4;nom
tb;4;nr
saúde;4;nr
los;4;nr
western;4;nom
game;4;adj
representative;4;nom
maintain;4;ver
specificity;4;nom
tete;4;nr
free;4;adj
extent;4;nom
modernization;4;nom
regard;4;nom
range;4;nom
epidemiology;4;nom
baby;4;adj
superior;4;nom
pccs;4;nr
hr;4;nr
unequal;4;nr
femininity;4;nom
hetero;4;nr
stratification;4;nom
inclusion;4;nom
mulata;4;nr
victimization;4;nom
require;4;ver
statement;4;nom
anemia;4;nom
government;3;nom
title;3;nom
raca;3;nr
didactic;3;nr
device;3;nom
january;3;nr
choose;3;ver
member;3;nom
front;3;nom
visibility;3;nom
persist;3;ver
align;3;ver
imbricated;3;nr
antiracist;3;nr
nascimento;3;nr
presentation;3;nom
crime;3;nom
initially;3;nr
overview;3;nom
martin;3;nom
sao;3;nr
gesture;3;nom
incorporate;3;ver
archival;3;nr
paradigm;3;nom
broad;3;adj
economics;3;nr
usa;3;nr
pedagogy;3;nom
fluminense;3;nr
horizon;3;nom
childbirth;3;nom
obstetric;3;nr
exposure;3;nom
official;3;nom
unify;3;ver
sus;3;nr
universal;3;nom
deductive;3;nr
procedure;3;nom
technique;3;nom
rise;3;nom
abjection;3;nom
butler;3;nom
pre;3;nr
symbolic;3;nr
erasure;3;nom
blackness;3;nom
consciousness;3;nom
pioneer;3;nom
favelas;3;nr
decline;3;nom
art;3;nom
music;3;nom
epistemology;3;nom
subjective;3;nr
systematic;3;nr
album;3;nom
asian;3;nr
musical;3;nom
style;3;nom
hierarchical;3;nr
involvement;3;nom
northeast;3;nom
colonialism;3;nom
combine;3;nom
politics;3;nr
interrelate;3;ver
similarity;3;nom
postcolonial;3;nr
internal;3;nom
healthcare;3;nr
online;3;nr
confront;3;ver
formulation;3;nom
flow;3;nom
peer;3;nom
problematize;3;nr
ovule;3;nom
characterize;3;ver
approximately;3;nr
inspire;3;ver
extreme;3;adj
difficulty;3;nom
deepen;3;ver
complexity;3;nom
haitian;3;nr
america;3;nr
imply;3;ver
historian;3;nom
eduardo;3;nr
emancipation;3;nom
test;3;nom
properly;3;nr
professor;3;nom
itinerary;3;nom
guideline;3;nom
grosso;3;nr
systemic;3;nom
myth;3;nom
additionally;3;nr
insight;3;nom
compose;3;ver
vaccination;3;nom
attempt;3;nom
predominantly;3;nr
periphery;3;nom
standard;3;nom
detail;3;nom
ground;3;nom
ibge;3;nr
residential;3;nr
scientist;3;nom
predominance;3;nom
conservative;3;nom
stereotype;3;nom
diverse;3;nr
intertwine;3;ver
migration;3;nom
serve;3;nom
scholar;3;nom
writing;3;nom
josé;3;nr
introduction;3;nom
epidemic;3;nom
6perc;3;nr
2perc;3;nr
heterosexual;3;nom
growth;3;nom
continuous;3;nr
circulate;3;ver
militant;3;nom
major;3;nom
disseminate;3;ver
court;3;nom
nineteenth;3;nom
kind;3;adj
consist;3;ver
improvement;3;nom
library;3;nom
commitment;3;nom
ii;3;nr
legislative;3;nom
japanese;3;nr
failure;3;nom
contemplate;3;ver
criticize;3;ver
incompleteness;3;nom
sinasc;3;nr
unit;3;nom
annual;3;nom
1perc;3;nr
southeast;3;nom
percent;3;nom
partner;3;nom
application;3;nom
elt;3;nr
dominant;3;nom
speaker;3;nom
graduate;3;nom
activism;3;nom
scene;3;nom
scenario;3;nom
meditação;3;nr
concern;3;nom
response;3;nom
dedicate;3;ver
deconstruct;3;ver
month;3;nom
administer;3;ver
timely;3;adj
calculate;3;ver
exclude;3;ver
cinematographic;3;nr
discursive;3;nr
naturalize;3;ver
recently;3;nr
physic;3;nom
evaluation;3;nom
railway;3;nom
occupy;3;ver
double;3;nom
enhance;3;ver
outcome;3;nom
icms;3;nr
ipva;3;nr
vulnerable;3;nr
choice;3;adj
license;3;nom
initiation;3;nom
add;3;ver
emancipatory;3;nr
enem;3;nr
quality;3;nom
drama;3;nom
gather;3;nom
exemplo;3;nr
emphasis;3;nom
judicial;3;nr
indicator;3;nom
locate;3;ver
leave;3;nom
logic;3;nom
europe;3;nr
santa;3;nr
freedom;3;nom
universe;3;nom
thought;3;nom
conceição;3;nr
circulation;3;nom
fictional;3;nr
spiritualist;3;nom
hear;3;ver
persistent;3;nr
effective;3;nom
carioca;3;nr
beauty;3;nom
stratum;3;nom
potential;3;nom
note;3;nom
connection;3;nom
cure;3;nom
treat;3;nom
sinan;3;nr
96perc;3;nr
odd;3;adj
stand;3;nom
fatores;3;nr
associados;3;nr
em;3;nom
entre;3;nr
serviços;3;nr
factores;3;nr
asociados;3;nr
el;3;nom
la;3;nom
cedaw;3;nr
normative;3;nr
match;3;nom
design;3;nom
significantly;3;nr
hegemonic;3;nr
economy;3;nom
sauna;3;nom
province;3;nom
correlate;3;nom
traditional;3;nr
pnad;3;nr
nacional;3;nr
operate;3;ver
exam;3;nom
