TI,AU,PY,SO
ANALYSIS OF THE HIV/AIDS POLICIES FROM A GENDER AND RACE INTERSECTIONAL PERSPECTIVE; [UMA ANÁLISE DAS POLÍTICAS DE ENFRENTAMENTO AO HIV/AIDS NA PERSPECTIVA DA INTERSECCIONALIDADE DE RAÇA E GÊNERO],LÓPEZ L,2011,SAUDE E SOCIEDADE
AND IN THEIR NAME WILL BE EXERCISED: DESCRIPTIVE REPRESENTATION AND POLITICAL INEQUALITY OF GENDER AND RACE IN BRAZIL; [E EM SEU NOME SERÁ EXERCIDO: REPRESENTAÇÃO DESCRITIVA E DESIGUALDADE POLÍTICA DE GÊNERO E RAÇA NO BRASIL]; [Y EN SU NOMBRE SE EJERCERÁ: REPRESENTACIÓN DESCRIPTIVA Y DESIGUALDAD POLÍTICA DE GÉNERO Y RAZA EN BRASIL],DE O A,2021,CIVITAS
ANTIRACISM AND BLACK MEMORY IN THE ARCHIVES: A PROJECT TO PRESERVE BLACK ORGANIZATION COLLECTIONS AT THE UNIVERSITY OF CAMPINAS (BRAZIL),RODRIGUES A;DA S M;RAMOS P,2021,ARCHIVES AND RECORDS-THE JOURNAL OF THE ARCHIVES AND RECORDS ASSOCIATION
"ANTONIO CARLOS PACHECO E SILVA: EUGENICS, RACE AND THE MENTAL HYGIENE LEAGUE OF SÃO PAULO, 1926-1950; [ANTÔNIO CARLOS PACHECO E SILVA: EUGENIA, RAÇA E A LIGA PAULISTA DE HIGIENE MENTAL, 1926-1950]",TARELOW G;MOTA A,2022,PROJETO HISTORIA
ANÁLISE ECONÔMICA DA PRODUÇÃO DE OVINOS EM LOTAÇÃO ROTATIVA EM PASTAGEM DE CAPIM TANZÂNIA (PANICUM MAXIMUM (JACQ)),VIDAL M D F;DA S R;NEIVA J;CÂNDIDO M;DA S D;PEIXOTO M,2006,REVISTA DE ECONOMIA E SOCIOLOGIA RURAL
"APPRAISAL, GENDER AND RACE IN THE DISCOURSE ABOUT COILY HAIR; [AVALIATIVIDADE, GÊNERO E RAÇA NO DISCURSO SOBRE CABELO CRESPO]; [VALORACIÓN, GÉNERO Y RAZA EN EL DISCURSO SOBRE EL CABELLO RIZADO]",DE C F D;LOPES J;UESSLER L,2023,CADERNOS DE LINGUAGEM E SOCIEDADE
ARCHAEOLOGY WITH POPCORN: GENDER AND RACE CONSTRUCTION IN CINEMA; [ARQUEOLOGIA COM PIPOCA: CONSTRUÇÕES DE GÊNERO E RAÇA NO CINEMA]; [ARQUEOLOGÍA CON PALOMITAS: CONSTRUCCIONES DE GÉNERO Y RAZA EN EL CINE],NASCIMENTO D,2024,REVISTA DE ARQUEOLOGIA
ARTICULATING RACE AND CLASS: EFFECTS ON THE CONSTRUCTION OF THE AFRO-DESCENDANT IDENTITY; [ARTICULANDO RAÇA E CLASSE: EFEITOS PARA A CONSTRUÇÃO DA IDENTIDADE AFRODESCENDENTE],BACKES J,2006,EDUCACAO E SOCIEDADE
ASSISTED REPRODUCTION IN CUBA: TRACES OF A RACIAL BIOPOLITICS; [A REPRODUÇÃO ASSISTIDA EM CUBA: TRAÇOS DE UMA BIOPOLÍTICA RACIAL]; [LA REPRODUCCIÓN ASISTIDA EN CUBA: RASTROS DE UNA BIOPOLÍTICA RACIAL],MALFRÁN Y;BOSCATTI A;NAVARRO P;ARAÑÓ Y,2024,REVISTA ESTUDOS FEMINISTAS
BETWEEN BRAZIL AND EUROPE: BRAZILIAN WOMEN NEGOTIATING GENDER AND RACE IN REPRESENTATIONS ABOUT “THE BRAZILIAN WOMAN”; [ENTRE O BRASIL E A EUROPA: BRASILEIRAS NEGOCIANDO GÊNERO E RAÇA NAS REPRESENTAÇÕES SOBRE “A MULHER BRASILEIRA”],ASSIS G;SIQUEIRA S,2021,CADERNOS PAGU
"BLACK COLORS OF SLAVERY NOT TO BE SEEN: RACE, CLASS AND NATION ON MIGUEL CALMON'S JOURNEY TO ASIAN PLANTATIONS (1905); [NEGRAS CORES DE ESCRAVIDÃO PARA NÃO SE VER: RAÇA, CLASSE E NAÇÃO NA VIAGEM DE MIGUEL CALMON A PLANTAÇÕES ASIÁTICAS (1905)]",NEGRO A,2020,VARIA HISTORIA
"BLACK EPISTEMOLOGIES AND MUSIC: A DIALOGUE WITH EMICIDA’S SOBRE CRIANÇAS, QUADRIS, PESADELOS E LIÇÕES DE CASA",ABREU M,2023,HISPANIA
