TI,AU,PY,SO
ETHNICITY AND RACE IN ENGLISH LANGUAGE ACTIVITIES AT A UNIVERSITY IN BAHIA; [ETHNICITÉ ET RACE DANS LE CADRE D’ACTIVITÉS EN LANGUE ANGLAISE DANS UNE UNIVERSITÉ À BAHIA]; [ETNICIDADE E RAÇA EM ATIVIDADES DE LÍNGUA INGLESA EM UMA UNIVERSIDADE NA BAHIA]; [ETNICIDAD Y RAZA EN ACTIVIDADES DE LENGUA INGLESA EN UNA UNIVERSIDAD EN BAHÍA],NASCIMENTO G,2019,CADERNOS DE PESQUISA
EUGENICS AND RACE IN THE POST-WAR: THE JOURNAL MANKIND QUARTERLY AND THE THEORIES OF THE FAR-RIGHT; [EUGENIA E RAÇA NO PÓS-GUERRA: O PERIÓDICO MANKIND QUARTERLY E AS TEORIZAÇÕES DA EXTREMA-DIREITA],MUNARETO G,2023,REVISTA BRASILEIRA DE HISTORIA
"EUGENICS, SCIENTIFIC RACISM AND ANTI-RACISM IN BRAZIL: DEBATES ABOUT SCIENCE, RACE AND IMMIGRATION IN THE BRAZILIAN EUGENIC MOVEMENT (1920-1930); [EUGENIA, RACISMO CIENTÍFICO E ANTIRRACISMO NO BRASIL: DEBATES SOBRE CIÊNCIA, RAÇA E IMIGRAÇÃO NO MOVIMENTO EUGÊNICO BRASILEIRO (1920-1930)]",DE S V,2022,REVISTA BRASILEIRA DE HISTORIA
EVOLUTION OF SOCIOECONOMIC INEQUALITIES IN CONDUCTING PRENATAL CONSULTATIONS AMONG BRAZILIAN PARTURIENT WOMEN: ANALYSIS OF THE PERIOD 2000-2015; [EVOLUÇÃO DAS DESIGUALDADES SOCIOECONÔMICAS NA REALIZAÇÃO DE CONSULTAS DE PRÉ-NATAL ENTRE PARTURIENTES BRASILEIRAS: ANÁLISE DO PERÍODO 2000-2015],MALLMANN M;BOING A;TOMASI Y;ANJOS J;BOING A,2018,EPIDEMIOLOGIA E SERVICOS DE SAUDE : REVISTA DO SISTEMA UNICO DE SAUDE DO BRASIL
"FACTORS ASSOCIATED WITH CURE WHEN TREATING TUBERCULOSIS IN THE STATE OF RIO DE JANEIRO, BRAZIL, 2011-2014; [FATORES ASSOCIADOS À CURA NO TRATAMENTO DA TUBERCULOSE NO ESTADO DO RIO DE JANEIRO, 2011-2014]",SANTOS J;SALES C;PRADO T;MACIEL E,2018,EPIDEMIOLOGIA E SERVICOS DE SAUDE : REVISTA DO SISTEMA UNICO DE SAUDE DO BRASIL
"FEAR OF CRIME AND VICTIMIZATION IN THE FEDERAL DISTRICT: ANALYZING THE VULNERABILITIES OF GENDER, AGE, RACE AND INCOME; [MEDO DO CRIME E VITIMIZAÇÃO NO DISTRITO FEDERAL: ANALISANDO AS VULNERABILIDADES DE GÊNERO, IDADE, RAÇA E RENDA]",TRINDADE A;DURANTE M,2019,DILEMAS
"FEMININITIES AND MASCULINITIES IN THE CONTEMPORARY SCENE: ANALYSIS OF THE SPECTACLE CAMINHO DA SEDA, BY SAO PAULO'S RACA DANCE COMPANY",DE A M;MARQUES D;ROBLE O;SARAIVA M,2015,MOVIMENTO
"FEMININITIES AND MASCULINITIES IN THE CONTEMPORARY SCENE: ANALYSIS OF THE SPECTACLE CAMINHO DA SEDA, BY SÃO PAULO’S RAÇA DANCE COMPANY; [FEMINILIDADES E MASCULINIDADES NA CENA CONTEMPORÂNEA: ANÁLISE DO ESPETÁCULO CAMINHO DA SEDA - RAÇA CIA DE DANÇA DE SÃO PAULO]; [FEMINIDADES Y MASCULINIDADES EN LA ESCENA CONTEMPORÁNEA: ANÁLISIS DE LO ESPECTÁCULO CAMINHO DA SEDA - RAÇA CIA DE DANZA DE SÃO PAULO]",DE A M;MARQUES D;ROBLE O;SARAIVA M,2015,MOVIMENTO
"FIGHTING ""STUPID RACIAL PREJUDICES"": MAPPING OF THE RIO GRANDE DO SUL BLACK PRESS AND THE CASE OF SANTA MARIA/RS; [COMBATENDO ""ESTULTOS PRECONCEITOS DE RAÇA"": MAPEAMENTO DA IMPRENSA NEGRA DO RIO GRANDE DO SUL E O CASO DE SANTA MARIA/RS]",PEDROSO G;LIMA T;DE O F,2022,REVISTA DO INSTITUTO HISTORICO E GEOGRAFICO DO RIO GRANDE DO SUL
"FITTING MATHEMATICAL MODELS TO LACTATION CURVES FROM HOLSTEIN COWS IN THE SOUTHWESTERN REGION OF THE STATE OF PARANA, BRAZIL",FERREIRA A;HENRIQUE D;VIEIRA R;MAEDA E;VALOTTO A,2015,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS
"FOOTBALL AND BLACK IDENTITY: LIFESTYLE CONSTRUCTION IN A VOZ DA RAÇA IN SÃO PAULO, BRAZIL, IN 1933",DA R C;DE S R;DA S C,2024,INTERNATIONAL JOURNAL OF THE HISTORY OF SPORT
FOR A CULTURAL HISTORY OF RACE: URGENT REFLECTIONS ON REMOTE AND RECENT TIMES; [POR UMA HISTÓRIA CULTURAL DA RAÇA: REFLEXÕES URGENTES SOBRE TEMPOS REMOTOS E RECENTES],MOTA A,2023,REVISTA BRASILEIRA DE HISTORIA
FROM JUVENILE JUSTICE TO CRIMINAL JUSTICE: RACE AND PSYCHOSOCIAL PROFILES AS PREDICTORS; [DA JUSTIÇA JUVENIL À JUSTIÇA CRIMINAL: RAÇA E PERFIS PSICOSSOCIAIS COMO PREDITORES]; [DE LA JUSTICIA JUVENIL A LA JUSTICIA PENAL: RAZA Y PERFILES PSICOSOCIALES COMO PREDICTORES],GEORGINI G;GALINARI L;BAZON M,2024,PAIDEIA
FROM THE 'BAIXADA' UP TO THE 'SOUTH ZONE': PATHS OF POLITICAL RACE VIOLENCE IN RIO DE JANEIRO; [DA BAIXADA À ZONA SUL: CAMINHOS DA VIOLÊNCIA POLÍTICA DE RAÇA NO RIO DE JANEIRO],LINS I,2023,REVISTA BRASILEIRA DE SEGURANCA PUBLICA
"FUNDAMENTAL THEMATIC IN GENDER AND SCIENCES IN BRAZIL: RACE/ETHNICS, IS THERE A LACK?; [TEMÁTICAS PRIORITÁRIAS NO CAMPO DE GÊNERO E CIÊNCIAS NO BRASIL: RAÇA/ETNIA, UMA LACUNA?]",MINELLA L,2013,CADERNOS PAGU
GENDER AND RACE IN THE BRAZILIAN CINEMA; [GENRE ET RACE DANS LE CINÉMA BRÉSILIEN]; [GÊNERO E RAÇA NO CINEMA BRASILEIRO],CANDIDO M;CAMPOS L;JÚNIOR J;PORTELA P,2021,REVISTA BRASILEIRA DE CIENCIAS SOCIAIS
"GENDER AND RACE PERFORMANCES IN THE DIGITAL ACTIVISM OF GELEDÉS: INTERSECTIONALITY, INTERACTIONAL POSITIONS AND REFLECTIVITY; [PERFORMANCES DE GÊNERO E RAÇA NO ATIVISMO DIGITAL DE GELEDÉS: INTERSECCIONALIDADE, POSICIONAMENTOS INTERACIONAIS E REFLEXIVIDADE]",SILVA D,2020,REVISTA BRASILEIRA DE LINGUISTICA APLICADA
GENDER AND RACE VULNERABILITY AND THE INTERSECTIONAL VIEW AT DISASTERS; [VULNERABILIDADE DE GÊNERO E RAÇA E OS DESASTRES SOCIONATURAIS]; [VULNERABILIDAD DE GÉNERO Y RAZA Y LA MIRADA INTERSECCIONAL DE LOS DESASTRES],GANTUS-OLIVEIRA T,2024,REVISTA ESTUDOS FEMINISTAS
GENDER AND RACE: A STUDY OF SELF-EFFICACY IN PHYSICS AMONG UNIVERSITY STUDENTS; [GENRE ET RACE: UNE ÉTUDE SUR L’AUTO-EFFICACITÉ DES ÉTUDIANTS EN PHYSIQUE]; [GÊNERO E RAÇA: UM ESTUDO SOBRE AUTOEFICÁCIA EM FÍSICA DE ALUNOS UNIVERSITÁRIOS]; [GÉNERO Y RAZA: UN ESTUDIO SOBRE LA AUTOEFICACIA EN FÍSICA DE ESTUDIANTES UNIVERSITARIOS],RAMOS I;DA S A;PANTOJA G,2022,CADERNOS DE PESQUISA
GENDER AND RACE: SOUTHERN TRANSITS IN PERSPECTIVE; [GÊNERO E RAÇA: TRÂNSITOS DO SUL EM PERSPECTIVA],DOS A J;VIEIRA M,2022,SOCIOLOGIAS
"GENDER JUSTICE IN FEMINIST ANALYSIS OF PUBLIC POLICIES IN ARGENTINA, BRAZIL AND CHILE; [JUSTIÇA DE GÊNERO NA ANÁLISE FEMINISTA DE POLÍTICAS PÚBLICAS EM ARGENTINA, BRASIL E CHILE]",MUÑOZ-CABRERA P;RANGEL P,2018,REVISTA ESTUDOS FEMINISTAS
"GENDER, CLASS AND RACE: THE INTERSECTIONALITY AND CONSUBSTANTIALITY OF SOCIAL RELATIONS; [GÊNERO, CLASSE E RAÇA: INTERSECCIONALIDADE E CONSUBSTANCIALIDADE DAS RELAÇÕES SOCIAIS]",HIRATA H,2014,TEMPO SOCIAL
"GENDER, RACE, AND NATIONALITY ORDERS OF INDEXICALITY IN TWO CONSUMED OBJECTS DURING THE 2014 WORLD CUP; [AS ORDENS DE INDEXICALIDADE DE GÊNERO, DE RAÇA E DE NACIONALIDADE EM DOIS OBJETOS DE CONSUMO EM TEMPOS DE COPA DO MUNDO 2014]",DE M G;FERREIRA J,2017,REVISTA BRASILEIRA DE LINGUISTICA APLICADA
"GENDER, RACE, SCHOOL DROPOUT AND EXPULSION: WHY DO GIRLS AND BOYS STOP ATTENDING SCHOOL?; [GÊNERO, RAÇA, EVASÃO E EXPULSÃO ESCOLAR: POR QUE OS ALUNOS E AS ALUNAS DEIXAM DE FREQUENTAR A ESCOLA?]; [GÉNERO, RAZA, ABSENTISMO ESCOLAR Y EXPULSIÓN: ¿POR QUÉ LOS ESTUDIANTES DEJAN DE IR A LA ESCUELA?]",RATUSNIAK C,2024,REVISTA BRASILEIRA DE EDUCACAO
"GENDER, SEX AND RACE AND THE FORMATION OF FEMALES SUBJECTIVITIES IN CUBA, XIX CENTURY; [GÊNERO, SEXO E RAÇA E A FORMAÇÃO DE SUBJETIVIDADES FEMININAS EM CUBA, SÉCULO XIX]",CABRERA O,2017,REVISTA ESTUDOS FEMINISTAS
"GIRLS FROM THE SYSTEM: AN INTERSECTIONAL ANALYSIS OF THE PROFILE OF ADOLESCENT GIRLS DEPRIVED OF THEIR FREEDOM IN CEARÁ; [MENINAS ALVO DO SISTEMA: INTERSECÇÕES NECROPOLÍTICAS DE GÊNERO, SEXUALIDADE, RAÇA, TERRITÓRIO E CLASSE NA TRAJETÓRIA DAS ADOLESCENTES PRIVADAS DE LIBERDADE NO CEARÁ]",DA S V;MOURA J;JR ,2021,MARGENS
GÊNERO E RAÇA SOB ENFOQUE DECOLONIAL,TEIXEIRA A;PASSIANI E,2022,SOCIOLOGIAS
"HEALTH, CURRICULUM AND EDUCATION: EXPERIENCES ABOUT RACE, ETHNICITY AND GENDER; [SAÚDE, CURRÍCULO, FORMAÇÃO: EXPERIÊNCIAS SOBRE RAÇA, ETNIA E GÊNERO]; [SALUD, CURRÍCULUM, EDUCACIÓN: EXPERIENCIAS SOBRE RAZA, ETNIA Y GÉNERO]",MONTEIRO R;DOS S M;DE A E,2021,"INTERFACE: COMMUNICATION, HEALTH, EDUCATION"
"HIGH TAXES FOR WHOM? AN EXAMINATION OF INEQUALITY IN STATE TAXATION BY INCOME, GENDER, AND RACE; [IMPOSTO ALTO PARA QUEM? UMA ANÁLISE DA DESIGUALDADE NA TRIBUTAÇÃO ESTADUAL A PARTIR DE RENDA, GÊNERO E RAÇA]",COSTA B;DE L B L,2024,REVISTA DE SOCIOLOGIA E POLITICA
HISTORICAL SOCIOLOGY AND INTERPRETATION OF RACISM IN BRAZIL; [SOCIOLOGIA HISTÓRICA E INTERPRETAÇÃO DO RACISMO NO BRASIL],GATO M,2024,TEMPO SOCIAL
"HISTORY OF AFRO-BRAZILIANS, AFRICANS, AND ANTI-RACIST EDUCATION: THE PERSPECTIVE OF PROFESSORS WORKING ON TEACHER TRAINING; [HISTÓRIA DOS AFRO-BRASILEIROS, AFRICANOS E A EDUCAÇÃO ANTIRRACISTA: O OLHAR DAS/OS PROFESSORAS/ES DAS LICENCIATURAS]",DIALLO C;DE L C,2022,EDUCACAO E PESQUISA
"HORIZONTAL OPPORTUNITIES IN ACCESS TO HIGHER EDUCATION IN BRAZIL: SOCIOECONOMIC STATUS, GENDER AND RACE IN A CONTEXT OF EDUCATIONAL EXPANSION; [ESTRATIFICAÇÃO HORIZONTAL DA EDUCAÇÃO SUPERIOR NO BRASIL: DESIGUALDADES DE CLASSE, GÊNERO E RAÇA EM UM CONTEXTO DE EXPANSÃO EDUCACIONAL]",CARVALHAES F;RIBEIRO C,2019,TEMPO SOCIAL
"HUMAN RIGHTS, DECOLONIALITY AND DECOLONIAL FEMINISM: THEORETICAL TOOLS FOR UNDERSTANDING RACE AND GENDER IN SUBALTERN SPACES; [DIREITOS HUMANOS, DECOLONIALIDADE E FEMINISMO DECOLONIAL: FERRAMENTAS TEÓRICAS PARA A COMPREENSÃO DE RAÇA E GÊNERO NOS LOCAIS DE SUBALTERNIDADE]",PASSOS R;SANTOS L;ESPINOZA F,2020,REVISTA BRASILEIRA DE POLITICAS PUBLICAS
"IDENTIFYING THE UN-NAMED WHITENESS: RACE, BODY, AND NATION IN REPRESENTATIONS OF GISELE BÜNDCHEN IN THE TRANSNATIONAL MEDIA; [IDENTIFICANDO A BRANQUIDADE INOMINADA: CORPO, RAÇA E NAÇÃO NAS REPRESENTAÇÕES SOBRE GISELE BÜNDCHEN NA MÍDIA TRANSNACIONAL]",MAIA S,2012,CADERNOS PAGU
"ILLUSTRATIVE DRAMA TEACHING: RACE, GENDER, SEXUALITY AND SOCIAL CLASS IN TEXTBOOKS; [UM ENSINO ILUSTRATIVO DE TEATRO: RAÇA, GÊNERO, SEXUALIDADE E CLASSE SOCIAL EM LIVROS DIDÁTICOS]; [UNA ENSEÑANZA ILUSTRATIVA DEL TEATRO: RAZA, GÉNERO, SEXUALIDAD Y CLASE SOCIAL EN LOS LIBROS DIDÁCTICOS]",CRUVINEL T;SILVEIRA T,2023,URDIMENTO
"IMAGINED HOMELAND: NATIONALISM, RACE AND HUMAN RIGHTS IN ""MEDITAÇÃO"" BY GONÇALVES DIAS; [PÁTRIA IMAGINADA: NACIONALISMO, RAÇA E DIREITOS HUMANOS EM ""MEDITAÇÃO"" DE GONÇALVES DIAS]",PINTO C,2022,NAU LITERARIA
"IMAGINING THE EXPECTED BABY: KINSHIP, BEAUTY AND RACE IN RIO DE JANEIRO; [IMAGINANDO O BEBÊ ESPERADO: PARENTESCO, RAÇA E BELEZA NO RIO DE JANEIRO]",REZENDE C,2016,ETNOGRAFICA
IN THE RACE CHORDS: THE JAZZ ERA IN THE AFRO-BRAZILIAN ENVIRONMENT; [NOS ACORDES DA RAÇA: A ERA DO JAZZ NO MEIO AFRO-BRASILEIRO],DOMINGUES P,2018,TEMPO E ARGUMENTO
"INFLUENCE OF PRODUCTION LEVEL, NUMBER, AND STAGE OF LACTATION ON MILK QUALITY IN COMPOST BARN SYSTEMS",NOGARA K;BUSANELLO M;HORST J;ZOPOLLATTO M,2024,ANAIS DA ACADEMIA BRASILEIRA DE CIENCIAS
"INFORMAL WORK, GENDER AND RACE IN BRAZIL IN THE EARLY 21ST CENTURY; [TRABALHO INFORMAL, GÊNERO E RAÇA NO BRASIL DO INÍCIO DO SÉCULO XXI]",ARAÚJO A;LOMBARDI M,2013,CADERNOS DE PESQUISA
"INTERSECTING AND APPROACHING: CONNECTIONS BETWEEN RACE, GENDER AND SEXUALITY; [INTERSECCIONANDO E APROXIMANDO: CONEXÕES ENTRE RAÇA, GÊNERO E SEXUALIDADE]; [INTERSECCIÓN Y ACERCAMIENTO: CONEXIONES ENTRE RAZA, GÉNERO Y SEXUALIDAD]",OLIVEIRA C,2024,REVISTA ESTUDOS FEMINISTAS
"INTERSECTIONALITY OF GENDER, CLASS AND RACE, AND VULNERABILITY OF BLACK FEMALE ADOLESCENTS TO STD/AIDS; [INTERSECCIONALIDADE DE GÊNERO, CLASSE E RAÇA E VULNERABILIDADE DE ADOLESCENTES NEGRAS ÀS DST/AIDS]",TAQUETTE S,2010,SAUDE E SOCIEDADE
INTERSECTIONALITY: PROPOSAL FOR A PROVISIONAL THEORETICAL MAP; [INTERSECCIONALIDADE: PROPOSTA DE UM MAPA TEÓRICO PROVISÓRIO]; [INTERSECCIONALIDAD: PROPUESTA DE UN MAPA TEÓRICO PROVISORIO],KYRILLOS G,2024,REVISTA ESTUDOS FEMINISTAS
"IT'S NATION TIME! JAZZ, RACE AND POLITICS IN THE WRITINGS OF FRANTZ FANON AND AMIRI BARAKA (1950-1970); [IT'S NATION TIME! JAZZ, RAÇA E POLÍTICA NOS ESCRITOS DE FRANTZ FANON E AMIRI BARAKA (1950-1970)]",RIBEIRO A;JÚNIOR ,2024,REVISTA DE HISTORIA (BRAZIL)
JAMBO COLOUR AND OTHER AMAZONIAN HUES: ON THE ABOLITION OF THE MULATA AND THE ADVENT OF THE MORENA CHEIROSA AT THE JUNE FESTIVALS OF BELÉM; [COLOR DE YAMBO Y OTROS MATICES AMAZÓNICOS: SOBRE LA ABOLICIÓN DE LA MULATA Y LA LLEGADA DE LA MORENA CHEIROSA EN LAS FIESTAS DE JUNIO EN BELÉM]; [COR DE JAMBO E OUTROS MATIZES AMAZÔNICOS: SOBRE A ABOLIÇÃO DA MULATA E O ADVENTO DA MORENA CHEIROSA NAS FESTAS JUNINAS DE BELÉM],NOLETO R,2018,MANA: ESTUDOS DE ANTROPOLOGIA SOCIAL
"KEPT PHOTOGRAPHS, MARKED BODIES, THE WORK OF TIME: RACE AND GENDER IN THE PRODUCTION OF HOME AND CITY; [FOTOGRAFIAS GUARDADAS, CORPOS MARCADOS, TRABALHO DO TEMPO: RAÇA E GÊNERO NA PRODUÇÃO DA CASA E DA CIDADE]; [FOTOGRAFÍAS GUARDADAS, CUERPOS MARCADOS, TRABAJO DEL TIEMPO: RAZA Y GÉNERO EN LA PRODUCCIÓN DE LA CASA Y DE LA CIUDAD]",DOS S G A,2023,MANA: ESTUDOS DE ANTROPOLOGIA SOCIAL
KLEBER AMANCIO: REFLECTIONS ON RACE AND ART HISTORY IN BRAZIL; [KLEBER AMANCIO: REFLEXÕES SOBRE RAÇA E HISTÓRIA DA ARTE NO BRASIL],PEREIRA B;OLIVEIRA P,2021,PROJETO HISTORIA
LANGUAGE AND RACE IN COLONIAL BRAZIL; [LÍNGUA E RAÇA NO BRASIL COLONIAL],SEVERO C;MAKONI S,2023,INTERNATIONAL JOURNAL OF THE SOCIOLOGY OF LANGUAGE
"LAW, RACE AND GENDER: ELEMENTS FOR THE CONSTRUCTION OF A FEMINIST LEGAL THEORY SUITABLE TO BLACK FEMINISM; [DIREITO, RAÇA E GÊNERO: ELEMENTOS PARA A CONSTRUÇÃO DE UMA TEORIA FEMINISTA DO DIREITO ADEQUADA AO FEMINISMO NEGRO]",CALIL M;MARKMAN D,2020,REVISTA BRASILEIRA DE POLITICAS PUBLICAS
LE CORBUSIER 1929: RACE IN RIO DE JANEIRO AND LATIN AMERICA; [LE CORBUSIER 1929: RAÇA NO RIO DE JANEIRO E NA AMÉRICA LATINA]; [LE CORBUSIER 1929: RAZA EN RÍO DE JANEIRO Y AMÉRICA LATINA],BRAGAIA F,2023,ARS (SAO PAULO)
"LEARNING FROM RYUKO KUBOTA: APPLIED LINGUISTICS, RACE, IDENTITY, AND CRITICAL APPROACHES; [APRENDENDO COM RYUKO KUBOTA: LINGUÍSTICA APLICADA, RAÇA, IDENTIDADE E ABORDAGENS CRÍTICAS]",KUBOTA R;HIBARINO D;DA S J,2023,REVISTA BRASILEIRA DE LINGUISTICA APLICADA
"LESBIANS HAVE THIS HABIT OF GOING FROM HERE TO THERE, FROM HERE TO THERE…: INTERVIEW WITH HELIANA HEMETÉRIO; [AS LÉSBICΑS TÊM ESSA MANIA DE SAIR DAQUI PRA LÁ, DAQUI PRA ACOLÁ…: ENTREVISTA COM HELIANA HEMETÉRIO]; [LAS LESBIANAS TIENEN ESTA MANÍA DE IR DE AQUÍ PARA ALLÁ, DE AQUÍ PARA ACOLÁ…: ENTREVISTA CON HELIANA HEMETÉRIO]",LAHNI C,2021,REVISTA ESTUDOS FEMINISTAS
"LIBERTANDO-SE DAS AMARRAS: REFLEXÕES SOBRE GÊNERO, RAÇA E PODER",GOMES N,2019,CURRICULO SEM FRONTEIRAS
LOUIS-JOSEPH JANVIER AND “THE DETRACTORS OF THE BLACK RACE”: AN ANTHROPOLOGICAL CRITIQUE; [LOUIS-JOSEPH JANVIER & “OS DETRATORES DA RAÇA NEGRA”: CRÍTICA ANTROPOLÓGICA],DÉUS F,2024,VIBRANT VIRTUAL BRAZILIAN ANTHROPOLOGY
"LOVES OVES AND VAPORS: SAUNA, RACE AND VIRILE PROSTITUTION IN SÃO PAULO; [AMORES E VAPORES: SAUNA, RAÇA E PROSTITUIÇÃO VIRIL EM SÃO PAULO]",SANTOS E;PEREIRA P,2016,REVISTA ESTUDOS FEMINISTAS
"MANNERS AND BODIES: COLOR/RACE, GENDER, SEXUALITY AND YOUTHFUL SOCIABILITY IN THE HISTORIC DOWNTOWN OF SÃO PAULO; [JEITOS DE CORPO: COR/RAÇA, GÊNERO, SEXUALIDADE E SOCIABILIDADE JUVENIL NO CENTRO DE SÃO PAULO]",SIMÕES J;FRANÇA I;MACEDO M,2010,CADERNOS PAGU
METAMORPHOSIS OF THE YELLOW: JAPANESE IMMIGRATION FROM “YELLOW PERIL” TO “RACIAL DEMOCRACY”; [METAMORFOSES DO AMARELO: A IMIGRAÇÃO JAPONESA DO “PERIGO AMARELO” À “DEMOCRACIA RACIAL”],HAYASHI B,2022,REVISTA BRASILEIRA DE CIENCIAS SOCIAIS
MUSICIANS AND THEIR WORK: GENDER AND RACE DIFFERENCES; [OS MÚSICOS E SEU TRABALHO: DIFERENÇAS DE GÊNERO E RAÇA],SEGNINI L,2014,TEMPO SOCIAL
NATIONAL FORMATIONS OF CLASS AND RACE; [FORMAÇÕES NACIONAIS DE CLASSE E RAÇA],GUIMARÃES A,2016,TEMPO SOCIAL
"NECROBIOPODER: MATERNIDADE, RAÇA E GÊNERO ENTRE BRASIL E PORTUGAL",BENTO B;COSTA K;COSTA B,2024,CADERNOS PAGU
NECROCURRÍCULO: DEIXAR VIVER E FAZER MORRER O SABER AFRICANO E AFRODIASPÓRICO NA POLÍTICA EDUCACIONAL BRASILEIRA,GARRIDO A;LIBERALI F,2024,JOURNAL OF CURRICULUM AND PEDAGOGY
"NEGOTIATING WITH ADVERSITY: DISCUSSION ON ""RACE"", (HOMO)SEXUALITY AND SOCIAL INEQUALITY IN RIO DE JANEIRO; [NEGOCIANDO COM A ADVERSIDADE: REFLEXÕES SOBRE ""RAÇA"", (HOMOS)SEXUALIDADE E DESIGUALDADE SOCIAL NO RIO DE JANEIRO]",MOUTINHO L,2006,REVISTA ESTUDOS FEMINISTAS
NOTION OF MOBILITY IN LAFONT: PORTRAIT OF A BLACK WOMAN IN THE WEST AS AN EXTERNALIZATION OF AFRICANITY; [NOÇÃO DE MOBILIDADE EM LAFONT: RETRATO DE UMA MULHER NEGRA NO OCIDENTE COMO EXTERNALIZAÇÃO DA AFRICANIDADE],TREVELIN G,2024,FRONTEIRAS(BRAZIL)
O ABRAÇO DA HERA. RAÇA E ESCRAVIDÃO NA UNIVERSIDADE,PERES E,2015,ESTUDOS AVANCADOS
OCCUPATIONAL SEGREGATION AND INCOME GAP BY GENDER AND RACE IN BRAZIL: AN AGE GROUP ANALYSIS; [SEGREGAÇÃO OCUPACIONAL E DIFERENCIAIS DE RENDA POR GÊNERO E RAÇA NO BRASIL: UMA ANÁLISE DE GRUPOS ETÁRIOS]; [SEGREGACIÓN OCUPACIONAL Y DIFERENCIALES DE INGRESOS POR GÉNERO Y RAZA EN BRASIL: UN ANÁLISIS DE GRUPOS DE EDAD],SILVEIRA L;SIQUEIRA N,2021,REVISTA BRASILEIRA DE ESTUDOS DE POPULACAO
"ON THE RAZOR'S EDGE: SICKLE CELL ANEMIA, RACE AND THE IMPLICATIONS IN HEALTH CARE; [NO FIO DA NAVALHA: ANEMIA FALCIFORME, RAÇA E AS IMPLICAÇÕES NO CUIDADO À SAÚDE]",LAGUARDIA J,2006,REVISTA ESTUDOS FEMINISTAS
OTHERNESS AND RACE BETWEEN AFRICA AND BRAZIL: WHITENESS AND DECENTERING IN THE BRAZILIAN SOCIAL SCIENCES; [ALTERIDADE E RAÇA ENTRE ÁFRICA E BRASIL: BRANQUIDADE E DESCENTRAMENTOS NAS CIÊNCIAS SOCIAIS BRASILEIRAS],PEREIRA L,2020,REVISTA DE ANTROPOLOGIA
PARA ALÉM DO ACESSO E DA INCLUSÃO: IMPACTOS DA RACA SOBRE A EVASAO E A CONCLUSAO NO ENSINO SUPERIOR,DA C A;PICANÇO F,2020,NOVOS ESTUDOS CEBRAP
PEDAGOGICAL PRACTICES FOR THE INITIAL GRADES OF ELEMENTARY SCHOOL: A CASE STUDY ON CHILDHOODS AND BLACKNESS,XAVIER N;DIALLO C,2024,PERSPECTIVAS EM DIALOGO-REVISTA DE EDUCACAO E SOCIEDADE
"PERIOD POVERTY BEHIND THE NUMBERS: GENDER, RACE, AND CLASS IN THE MENSTRUAL EXPERIENCES OF GIRLS FROM AN URBAN PERIPHERY IN BRAZIL; [POBREZA MENSTRUAL MÁS ALLÁ DE LAS CIFRAS: GÉNERO, RAZA Y CLASE EN LAS EXPERIENCIAS MENSTRUALES DE NIÑAS DE UNA PERIFERIA URBANA BRASILEÑA]; [POBREZA MENSTRUAL ALÉM DOS NÚMEROS: GÊNERO, RAÇA E CLASSE NAS EXPERIÊNCIAS MENSTRUAIS DE MENINAS DE UMA PERIFERIA URBANA BRASILEIRA]",MENEGOTTO J;RIBEIRO F,2024,"TAPUYA: LATIN AMERICAN SCIENCE, TECHNOLOGY AND SOCIETY"
"POLITICS OF RECOGNITION, RACE AND DEMOCRACY IN BRAZIL; [POLÍTICA DE RECONHECIMENTO, RAÇA E DEMOCRACIA NO BRASIL]",AVRITZER L;GOMES L,2013,DADOS
PRECARIEDADE OCUPACIONAL: UMA QUESTÃO DE GÊNERO E RAÇA,PRONI M;GOMES D,2015,ESTUDOS AVANCADOS
"PRESENTATION: RACE, ETHNICITY, GENDER: EXPERIENCES IN HEALTH EDUCATION; [APRESENTAÇÃO: RAÇA, ETNIA, GÊNERO: EXPERIÊNCIAS NA FORMAÇÃO EM SAÚDE]; [PRESENTACIÓN: RAZA, ETNIA, GÉNERO: EXPERIENCIAS EN EDUCACIÓN PARA LA SALUD]",CYRINO E,2021,"INTERFACE: COMMUNICATION, HEALTH, EDUCATION"
"PRINCE ROLAND BONAPARTE’S ANTHROPOLOGICAL PHOTOGRAPHS IN THE ERA OF HUMAN EXHIBITIONS: RACE, SCIENCE AND THE COLONIALISM OF THE GAZE; [AS FOTOGRAFIAS ANTROPOLÓGICAS DO PRÍNCIPE ROLAND BONAPARTE NA ERA DAS EXPOSIÇÕES HUMANAS: RAÇA, CIÊNCIA E COLONIALISMO DO OLHAR]",BARBOSA C,2024,REVISTA BRASILEIRA DE HISTORIA
"PROFESSIONAL MULATAS: RACE, GENDER AND OCCUPATION; [MULATAS PROFISSIONAIS: RAÇA, GÊNERO E OCUPAÇÃO]",GIACOMINI S,2006,REVISTA ESTUDOS FEMINISTAS
PROPERTY OWNERSHIP STRATEGIES: BLACK PAULISTA FAMILIES’ LIFE HISTORY BETWEEN 1920S AND 1940S; [ESTRATÉGIAS DE AQUISIÇÃO DA CASA PRÓPRIA: A TRAJETÓRIA DE ALGUMAS FAMÍLIAS NEGRAS PAULISTANAS NAS DÉCADAS DE 1920 A 1940],BARONE A,2020,ANAIS DO MUSEU PAULISTA
