"";"X";"V1"
"456";456;0
"457";457;3
"458";458;2
"459";459;2
"460";460;0
"461";461;3
"462";462;0
"463";463;3
"464";464;3
"465";465;1
"466";466;2
"467";467;2
"468";468;2
"469";469;0
"470";470;3
"471";471;2
"472";472;2
"473";473;2
"474";474;2
"475";475;0
"476";476;2
"477";477;2
"478";478;2
"479";479;3
"480";480;3
"481";481;3
"482";482;3
"483";483;2
"484";484;2
"485";485;3
"486";486;2
"487";487;0
"488";488;3
"489";489;3
"490";490;3
"491";491;0
"492";492;1
"493";493;2
"494";494;1
"495";495;1
"496";496;1
"497";497;1
"498";498;1
"499";499;3
"500";500;0
"501";501;3
"502";502;2
"503";503;3
"504";504;3
"505";505;2
"506";506;3
"507";507;0
"508";508;3
"509";509;0
"510";510;3
"511";511;3
"512";512;2
"513";513;2
"514";514;3
"515";515;2
"516";516;2
"517";517;1
"518";518;3
"519";519;3
"520";520;0
"521";521;3
"522";522;2
"523";523;1
"524";524;1
"525";525;1
"526";526;1
"527";527;1
"528";528;0
"529";529;0
"530";530;3
"531";531;3
"532";532;1
"533";533;2
"534";534;2
"535";535;2
"536";536;1
"537";537;2
"538";538;1
"539";539;0
"540";540;2
"541";541;2
"542";542;3
"543";543;2
"544";544;1
"545";545;1
"546";546;1
"547";547;1
"548";548;2
"549";549;2
"550";550;3
"551";551;3
"552";552;2
"553";553;1
"554";554;2
"555";555;0
"556";556;0
"557";557;1
"558";558;1
"559";559;1
"560";560;1
"561";561;1
"562";562;3
"563";563;3
"564";564;3
"565";565;3
"566";566;2
"567";567;3
"568";568;2
"569";569;2
"570";570;3
"571";571;3
"572";572;3
"573";573;2
"574";574;3
"575";575;3
"576";576;3
"577";577;3
"578";578;3
"579";579;3
"580";580;3
"581";581;0
"582";582;3
"583";583;3
"584";584;1
"585";585;0
"586";586;0
"587";587;0
"588";588;0
"589";589;3
"590";590;0
"591";591;3
"592";592;2
"593";593;2
"594";594;3
"595";595;2
"596";596;1
"597";597;3
"598";598;1
"599";599;1
"600";600;1
"601";601;1
"602";602;1
"603";603;1
"604";604;0
"605";605;0
"606";606;0
"607";607;0
"608";608;0
"609";609;3
"610";610;3
"611";611;2
"612";612;3
"613";613;3
"614";614;3
"615";615;2
"616";616;3
"617";617;0
"618";618;0
"619";619;2
"620";620;0
"621";621;3
"622";622;0
"623";623;0
"624";624;1
"625";625;2
