"";"classe 1";"classe 2";"classe 3"
"test";2,133;-0,002;-1,752
"systemic";-1,209;-0,002;1,158
"systematic";0,033;1,37;-1,752
"symbolic";-1,209;-1,594;5,181
"subjective";-1,209;-0,002;1,158
"stereotype";-1,209;-1,594;5,181
"standard";0,033;-0,002;-0,015
"stage";0,033;-1,594;1,158
"southeast";2,133;-1,594;-0,015
"slum";7,51;-1,594;-1,752
"sinasc";7,51;-1,594;-1,752
"similarity";0,033;-0,002;-0,015
"significantly";2,133;-1,594;-0,015
"scientist";-1,209;-1,594;5,181
"rise";-1,209;1,37;-0,015
"response";2,133;-0,002;-1,752
"respondent";7,51;-1,594;-1,752
"recife";7,51;-1,594;-1,752
"recently";-1,209;5,697;-1,752
"raca";-1,209;-1,594;5,181
"quality";0,033;-0,002;-0,015
"put";0,033;-0,002;-0,015
"properly";-1,209;5,697;-1,752
"professor";-1,209;5,697;-1,752
"procedure";0,033;-0,002;-0,015
"prenatal";7,51;-1,594;-1,752
"predominantly";0,033;-0,002;-0,015
"predominance";2,133;-1,594;-0,015
"pre";-1,209;1,37;-0,015
"poor";0,033;1,37;-1,752
"pnad";7,51;-1,594;-1,752
"physic";2,133;-0,002;-1,752
"periphery";0,033;-0,002;-0,015
"percent";7,51;-1,594;-1,752
"partner";2,133;-1,594;-0,015
"paradigm";-1,209;-1,594;5,181
"overview";-1,209;-1,594;5,181
"opportunity";7,51;-1,594;-1,752
"operate";-1,209;-1,594;5,181
"official";0,033;1,37;-1,752
"occasion";2,133;-0,002;-1,752
"observation";-1,209;-0,002;1,158
"northeast";0,033;-0,002;-0,015
"nascimento";-1,209;-0,002;1,158
"nacional";0,033;-0,002;-0,015
"myth";-1,209;5,697;-1,752
"month";7,51;-1,594;-1,752
"monitor";7,51;-1,594;-1,752
"migration";-1,209;1,37;-0,015
"major";0,033;1,37;-1,752
"logic";0,033;-0,002;-0,015
"locate";-1,209;-0,002;1,158
"library";2,133;-0,002;-1,752
"leave";-1,209;-0,002;1,158
"judicial";0,033;1,37;-1,752
"itinerary";2,133;-0,002;-1,752
"ipva";2,133;-1,594;-0,015
"involvement";2,133;-0,002;-1,752
"introduction";0,033;-1,594;1,158
"internal";-1,209;1,37;-0,015
"insight";-1,209;5,697;-1,752
"inform";0,033;-1,594;1,158
"infer";0,033;-1,594;1,158
"incorporate";0,033;-0,002;-0,015
"incompleteness";7,51;-1,594;-1,752
"improvement";7,51;-1,594;-1,752
"imply";-1,209;-0,002;1,158
"imbricated";0,033;-0,002;-0,015
"icms";2,133;-1,594;-0,015
"ibge";0,033;-1,594;1,158
"historian";-1,209;-1,594;5,181
"hegemonic";-1,209;1,37;-0,015
"hear";2,133;-0,002;-1,752
"healthcare";-1,209;1,37;-0,015
"guideline";-1,209;1,37;-0,015
"ground";0,033;-0,002;-0,015
"graduate";0,033;-0,002;-0,015
"government";-1,209;-0,002;1,158
"fluminense";0,033;1,37;-1,752
"failure";0,033;1,37;-1,752
"exposure";0,033;1,37;-1,752
"exclude";2,133;-0,002;-1,752
"evaluation";2,133;-0,002;-1,752
"erasure";-1,209;-1,594;5,181
"epidemic";0,033;-0,002;-0,015
"enhance";2,133;-0,002;-1,752
"enem";7,51;-1,594;-1,752
"emancipatory";-1,209;-0,002;1,158
"effective";-1,209;1,37;-0,015
"economics";-1,209;-1,594;5,181
"drama";-1,209;-0,002;1,158
"dominant";-1,209;-0,002;1,158
"disseminate";-1,209;5,697;-1,752
"discursive";-1,209;-1,594;5,181
"difficulty";0,033;1,37;-1,752
"device";-1,209;-1,594;5,181
"design";0,033;-1,594;1,158
"deepen";-1,209;1,37;-0,015
"deductive";-1,209;1,37;-0,015
"cure";7,51;-1,594;-1,752
"crime";0,033;1,37;-1,752
"correlate";2,133;-0,002;-1,752
"contemplate";0,033;1,37;-1,752
"consultation";7,51;-1,594;-1,752
"consistent";7,51;-1,594;-1,752
"consist";-1,209;1,37;-0,015
"conservative";-1,209;-1,594;5,181
"consciousness";-1,209;-0,002;1,158
"confront";-1,209;-0,002;1,158
"compose";0,033;1,37;-1,752
"complexity";-1,209;1,37;-0,015
"complete";7,51;-1,594;-1,752
"commitment";0,033;-0,002;-0,015
"childbirth";0,033;1,37;-1,752
"characterize";0,033;-1,594;1,158
"calculate";7,51;-1,594;-1,752
"butler";-1,209;5,697;-1,752
"broad";0,033;-0,002;-0,015
"application";2,133;-1,594;-0,015
"antiracist";-1,209;5,697;-1,752
"align";-1,209;-0,002;1,158
"album";-1,209;5,697;-1,752
"administer";7,51;-1,594;-1,752
"adherence";0,033;1,37;-1,752
"additionally";0,033;1,37;-1,752
"add";2,133;-0,002;-1,752
"abjection";-1,209;-0,002;1,158
"6perc";7,51;-1,594;-1,752
"2perc";7,51;-1,594;-1,752
"1perc";7,51;-1,594;-1,752
"the";-10,501;2,925;1,825
"of";-15,126;0,351;9,374
"and";0,002;-3,607;3,342
"in";-8,614;0,976;3,158
"to";-5,633;8,491;-0,422
"a";-3,201;8,909;-1,606
"this";-17,312;5,463;2,544
"that";-9,444;0,708;4,207
"on";-7,553;3,173;0,671
"as";-5,213;0,607;1,883
"is";-0,505;2,586;-0,847
"with";11,377;-1,604;-3,659
"by";0,05;0,353;-0,634
"for";2,097;-0,081;-1,159
"from";3,872;-1,736;-0,297
"it";-5,302;6,958;-0,197
"between";0,048;-7,543;6,269
"we";0,003;-0,555;0,464
"was";3,6;-0,185;-1,835
"are";0,574;-1,658;0,314
"which";-5,113;0,048;3,629
"an";-0,787;0,582;0,006
"their";-4,607;0,125;2,767
"these";0,16;0,172;-0,616
"were";9,447;-0,483;-4,82
"how";-12,415;0,073;9,222
"about";-6,482;-0,25;8,292
"or";3,927;-1,646;-0,35
"its";-6,687;0,04;4,959
"more";9,896;-1,76;-2,692
"be";-0,538;0,001;0,435
"has";-2,513;4,931;-0,496
"through";0,092;-0,746;0,322
"at";-0,782;4,455;-1,571
"s";-7,994;-0,262;9,958
"have";0,092;0,031;-0,21
"who";0,276;0,611;-1,598
"way";-11,608;0,159;7,847
"among";11,838;-0,396;-6,785
"i";-9,06;0,21;5,617
"such";-2,053;7,595;-1,892
"different";-0,482;-0,003;0,492
"two";-0,602;-0,591;2,208
"been";-9,826;8,949;0
"one";0,242;0,008;-0,301
"not";-0,934;0,94;-0,003
"make";-4,956;0,149;2,911
"other";5,265;-0,591;-1,94
"also";-1,144;2,021;-0,16
"some";-1,923;0;1,723
"well";0,209;0,011;-0,285
"use";13,76;-2,07;-4,236
"they";-0,74;0,55;0,006
"out";6,199;-2,07;-0,837
"there";10,909;-0,444;-5,95
"do";-1,577;0,044;0,943
"used";0,957;0,093;-1,482
"0";22,729;-4,823;-5,304
"those";7,467;-2,705;-0,882
"into";0,038;-0,761;0,46
"most";15,333;-6,017;-1,566
"but";0,2;-1,25;0,468
"both";2,144;-0,347;-0,627
"only";4,602;-1,939;-0,406
"thus";-0,076;0,217;-0,041
"2";19,52;-6,35;-2,742
"when";0,644;0,044;-0,919
"self";9,541;-2,625;-1,683
"new";-7,416;-0,013;7,104
"within";0,005;1,197;-1,315
"three";0,083;-0,078;0
"first";-2,844;-0,777;6,004
"consider";-0,021;-4,411;4,869
"1";4,122;-0,777;-1,069
"regarding";-3,621;-0,011;3,558
"them";0,055;0,607;-0,977
"his";-3,621;-0,426;5,894
"can";-0,051;-0,592;0,943
"will";-1,44;1,499;-0,007
"had";8,889;-4,759;-0,413
"especially";-1,295;0,151;0,468
"associated";13,084;-4,504;-1,683
"what";-2,844;0,783;0,501
"take";-0,37;1,065;-0,2
"so";-1,138;0,783;0,016
"right";-6,572;3,396;0,343
"mean";-0,029;-0,011;0,069
"while";7,383;-3,063;-0,674
"think";-5,316;2,171;0,501
"than";9,541;-4,504;-0,643
"our";1,99;-0,777;-0,205
"need";-6,572;5,638;0,004
"during";-1,138;0,088;0,501
"course";0,969;0,198;-1,856
"being";3,193;-0,229;-1,447
"using";2,44;0,198;-3,624
"still";0,005;-0,207;0,145
"all";2,44;0,198;-3,624
"against";-0,079;3,042;-2,124
"according";7,383;-5,285;-0,078
"since";-1,37;0,391;0,231
"e";-1,031;0,03;0,609
"3";8,497;-5,367;-0,2
"second";-1,37;-0,617;3,505
"non";0,132;-1,735;0,919
"indicate";3,193;-4,759;0,228
"even";-0,01;-3,213;3,47
"2015";17,882;-3,722;-4,249
"over";-0,598;-0,265;1,519
"less";5,272;-3,722;-0,062
"each";1,99;-2,161;0,016
"however";0,327;-0,265;-0,001
"after";-0,183;-0,617;1,384
"us";-0,079;-1,735;2,442
"therefore";-0,37;-5,367;8,155
"particularly";0,099;-0,617;0,231
"o";0,033;-0,002;-0,015
"may";0,099;0,391;-0,83
"mainly";1,116;-0,006;-0,83
"2014";2,813;-0,113;-1,538
"up";0,642;0,131;-1,228
"under";-0,052;-0,329;0,609
"no";-0,184;4,59;-2,929
"four";2,813;-1,289;-0,205
"certain";0;-1,289;1,262
"although";6,702;-1,331;-1,662
"4";11,276;-3,74;-1,538
"2018";4,543;-1,746;-0,483
"whether";3,234;-2,222;-0,046
"several";0;1,589;-1,538
"same";0,311;-0,329;0,002
"despite";4,543;-1,746;-0,483
"allow";-1,37;-2,222;6,595
"2016";0,065;-0,86;0,455
"without";0,7;1,589;-4,113
"whose";0,318;-2,664;1,169
"themselves";-2,021;1,437;0,023
"should";-1,37;7,516;-2,583
"possible";-0,424;-0,004;0,455
"her";-0,026;-0,164;0,303
"following";0,7;0,213;-1,538
"around";-2,021;1,437;0,023
"2010";1,808;-1,746;0,002
"various";1,352;-0,004;-1,052
"value";-0,424;-0,004;0,455
"others";-2,837;0,213;1,262
"necessary";-2,837;8,168;-1,538
"my";-1,614;-0,164;2,529
"given";0,7;-1,289;0,113
"considering";0,065;-0,004;-0,031
"better";0,7;0,213;-1,538
"any";0;1,589;-1,538
"above";0,7;0,213;-1,538
"8";17,626;-3,74;-4,113
"would";0,318;-2,664;1,169
"where";-0,184;0,065;0,023
"towards";0,033;1,37;-1,752
"then";-0,184;-0,474;1,169
"last";-0,184;4,59;-2,929
"if";0;4,241;-4,113
"few";2,425;0,065;-2,929
"did";-0,184;1,437;-0,609
"changes";-2,837;0,213;1,262
"beyond";-0,184;1,437;-0,609
"19";4,285;-0,86;-1,052
"10";0,7;-0,113;-0,205
"throughout";-0,026;-0,164;0,303
"particular";-0,184;0,065;0,023
"old";6,503;-2,664;-0,609
"many";-1,614;0,422;0,303
"itself";-2,021;0,065;1,169
"here";-0,184;-0,474;1,169
"he";-2,021;1,437;0,023
"cannot";2,425;-2,664;0,023
"48";4,233;-0,164;-2,34
"24";8,862;-3,201;-1,052
"2006";0,033;-0,002;-0,015
"2005";0,065;-0,004;-0,031
"2001";0,318;-0,474;0,023
"2000";2,425;-0,474;-0,609
"1990";-0,026;2,903;-2,34
"13";7,51;-1,594;-1,752
"why";-1,614;2,903;-0,24
"took";-0,026;0,422;-0,24
"seven";2,425;-0,474;-0,609
"seen";-1,614;-0,164;2,529
"own";-0,026;0,422;-0,24
"likely";12,553;-2,664;-2,929
"indicated";0,899;-0,164;-0,24
"having";2,133;-0,002;-1,752
"example";0,899;0,422;-2,34
"does";2,425;-0,474;-0,609
"concerning";-0,184;0,065;0,023
"become";-1,614;0,422;0,303
"because";-0,026;0,422;-0,24
"across";4,233;-2,128;-0,24
"66";7,51;-1,594;-1,752
"6";7,51;-1,594;-1,752
"2017";10,028;-2,128;-2,34
"2012";6,503;-0,474;-2,929
"2003";-0,184;0,065;0,023
"trying";-1,614;0,422;0,303
"together";-1,209;1,37;-0,015
"rather";-1,614;0,422;0,303
"ones";0,033;-0,002;-0,015
"moreover";0,033;-1,594;1,158
"help";-1,614;0,422;0,303
"further";0,033;1,37;-1,752
"done";0,033;-0,002;-0,015
"became";0,033;1,37;-1,752
"b";0,899;-0,164;-0,24
"appropriate";-1,209;1,37;-0,015
"639";-1,614;0,422;0,303
"5";7,51;-1,594;-1,752
"47";10,028;-2,128;-2,34
"45";10,028;-2,128;-2,34
"2022";-1,614;-2,128;6,918
"2021";0,033;-0,002;-0,015
"2013";0,899;-0,164;-0,24
"2004";-1,209;5,697;-1,752
"1998";7,51;-1,594;-1,752
"11";0,899;0,422;-2,34
"03";-1,614;0,422;0,303
"whereas";2,133;-1,594;-0,015
"very";0,033;-0,002;-0,015
"toward";-1,209;1,37;-0,015
"third";-1,209;1,37;-0,015
"must";0,033;-0,002;-0,015
"much";-1,209;5,697;-1,752
"little";2,133;-1,594;-0,015
"kept";-1,209;-0,002;1,158
"go";0,033;-0,002;-0,015
"come";0,033;-0,002;-0,015
"brief";0,033;-1,594;1,158
"appear";2,133;-0,002;-1,752
"almost";7,51;-1,594;-1,752
"711";2,133;-0,002;-1,752
"28";2,133;-0,002;-1,752
"2020";7,51;-1,594;-1,752
"2019";7,51;-1,594;-1,752
"2009";2,133;-0,002;-1,752
"1978";0,033;-0,002;-0,015
"18";7,51;-1,594;-1,752
"17";7,51;-1,594;-1,752
"16";7,51;-1,594;-1,752
"12";0,033;1,37;-1,752
"*vitorino_a";-1,209;-1,594;5,181
"*montanari_p";-1,209;-1,594;5,181
"*2014";-3,5;-3,495;12,946
"*da_rosa_c";-0,402;1,894;-0,582
"*de_souza_r";-0,402;1,894;-0,582
"*da_silva_c";-0,402;1,894;-0,582
"*2024";-0,946;1,908;-0,203
"*freitas_m";-1,209;5,697;-1,752
"*2020";-2,613;1,526;0,088
"*vinuto_j";-1,614;2,903;-0,24
"*ramos_p";-2,837;1,589;0,113
"*da_silva_m";-2,021;1,437;0,023
"*2022";0,054;2,478;-3,134
"*rodrigues_a";-1,209;-0,002;1,158
"*2021";-1,872;1,858;-0,004
"*ducatti_i";-0,402;1,894;-0,582
"*souza_t";-0,402;1,894;-0,582
"*2017";0,209;0,011;-0,285
"*carlos_j";-1,209;-1,594;5,181
"*vieira_j";-0,184;1,437;-0,609
"*guimaraes_a";-0,184;1,437;-0,609
"*vieira_a";-0,184;1,437;-0,609
"*2019";1,53;0,029;-1,759
"*moreira_s";-1,209;5,697;-1,752
"*partichelli_p";-1,209;5,697;-1,752
"*bazani_a";-1,209;5,697;-1,752
"*spengler_f";-1,614;7,607;-2,34
"*lima_f";-1,614;7,607;-2,34
"*santos_d";-1,614;-0,164;2,529
"*gonçalves_s";-1,614;-0,164;2,529
"*da_s_s";-1,614;-0,164;2,529
"*pinheiro_a";-1,614;-0,164;2,529
"*xavier_n";-0,184;1,437;-0,609
"*diallo_c";-1,724;9,247;-3,128
"*de_oliveira_s";0,327;-5,912;3,47
"*terra_b";-1,209;1,37;-0,015
"*da_luz_c";-1,209;1,37;-0,015
"*abreu_m";-2,429;6,355;-1,052
"*2023";-0,567;-3,158;6,048
"*santana_e_s_c";15,086;-3,201;-3,52
"*vilela_e";15,086;-3,201;-3,52
"*de_oliveira_v";15,086;-3,201;-3,52
"*de_oliveira_d";-1,209;-1,594;5,181
"*costa_t";-2,837;-1,289;7,285
"*severo_c";0;0;0
"*makoni_s";0;0;0
"*cristiellen_r_r_m";0,899;-2,128;0,303
"*quezado_c_l_m";0,899;-2,128;0,303
"*mariz_s";-0,805;-1,061;3,449
"*vasconcelos_f";-0,805;-1,061;3,449
"*da_silva_a";4,122;0,088;-4,82
"*lemos_a";-2,021;4,59;-0,609
"*guimarães_a";-1,724;1,065;0,045
"*ribeiro_a";-0,402;1,894;-0,582
"*malfrán_y";-1,614;-2,128;6,918
"*boscatti_a";-1,614;-2,128;6,918
"*navarro_p";-1,614;-2,128;6,918
"*arañó_y";-1,614;-2,128;6,918
"*petschelies_e";0;0;0
"*souza_v";-1,209;-0,002;1,158
"*zullo_g";-0,805;-1,061;3,449
"*almeida_p";-0,805;-1,061;3,449
"*colombini_i";-2,021;-0,474;4,048
"*gomes_n";-4,071;0,131;2,355
"*conte_g_p";-0,805;-1,061;3,449
"*pizzinato_a";-0,805;-1,061;3,449
"*silva_d";-2,429;-3,201;10,407
"*dziuba_a";-1,614;-2,128;6,918
"*trapp_r";-2,837;-0,113;3,653
"*campos_l";-1,37;4,146;-0,83
"*de_lima_c";-2,021;9,523;-2,929
"*cunha_r";-1,614;7,607;-2,34
"*leite_i";-1,614;7,607;-2,34
"*nogueira_m";-1,614;7,607;-2,34
"*da_cruz_d";-1,614;7,607;-2,34
"*rodrigues_g";-1,614;2,903;-0,24
"*dos_santos_p";-1,614;2,903;-0,24
"*paulla_m";-1,614;2,903;-0,24
"*do_bonfim_m";-0,402;-0,53;1,722
"*matos_c";-1,209;-0,002;1,158
"*tavares_j";-1,209;-0,002;1,158
"*couto_m";-1,209;-0,002;1,158
"*flaherty-echeverría_s";-0,402;1,894;-0,582
"*de_oliveira_l";-0,402;1,894;-0,582
"*pierobon_c";-0,805;-1,061;3,449
"*fernandes_c";-0,805;-1,061;3,449
"*de_oliveira_a";3,234;-0,006;-2,583
"*bueno_j";2,133;-1,594;-0,015
"*dos_santos_n";2,133;-1,594;-0,015
"*bragaia_f";0;0;0
"*frança_d";4,233;-2,128;-0,24
"*massarani_l";-1,209;-1,594;5,181
"*waltz_i";-1,209;-1,594;5,181
"*leal_t";-1,209;-1,594;5,181
"*medeiros_a";-1,209;-1,594;5,181
"*tarelow_g";0;0;0
"*mota_a";-1,209;5,697;-1,752
"*afonso_m";-0,805;-1,061;3,449
"*machado_i";-2,021;1,437;0,023
"*raminelli_r";-0,805;0,21;0,151
"*fialho_c";20,174;-4,281;-4,708
"*bonomo_m";20,174;-4,281;-4,708
"*da_silva_s";20,174;-4,281;-4,708
"*miranda_a";20,174;-4,281;-4,708
"*silveira_r";-0,184;0,065;0,023
"*rosa_r";-0,184;0,065;0,023
"*fogaça_g";-0,184;0,065;0,023
"*santos_l";-2,463;0,27;0,919
"*nardi_h";-0,184;0,065;0,023
"*alves_m";-0,184;0,065;0,023
"*bairros_f";-0,184;0,065;0,023
"*menegotto_j";-1,209;-0,002;1,158
"*ribeiro_f";-1,209;-0,002;1,158
"*borgongino_b";-0,805;0,21;0,151
"*munareto_g";-0,402;-0,53;1,722
"*de_carvalho_figueiredo_d";-1,209;-1,594;5,181
"*lopes_j";-1,209;-1,594;5,181
"*uessler_l";-1,209;-1,594;5,181
"*lins_i";-1,209;5,697;-1,752
"*monteiro_r";-0,712;1,589;-0,205
"*dos_santos_m";-1,614;7,607;-2,34
"*de_araújo_e";-1,031;5,841;-2,051
"*balaban_m";-0,805;-1,061;3,449
"*alves-brito_a";-0,184;1,437;-0,609
"*rosa_k";-0,184;1,437;-0,609
"*hayashi_b";-1,209;5,697;-1,752
"*de_azevedo_weimer_r";-1,209;5,697;-1,752
"*santana_b";12,553;-2,664;-2,929
"*andrade_a";12,553;-2,664;-2,929
"*muraro_a";12,553;-2,664;-2,929
"*de_jesus_g";7,51;-1,594;-1,752
"*da_costa_m";2,813;-0,113;-1,538
"*dias_l";7,51;-1,594;-1,752
"*filho_v";7,51;-1,594;-1,752
"*de_oliveira_araújo_r";7,51;-1,594;-1,752
"*barros_a";7,51;-1,594;-1,752
"*dos_santos_araújo_l";7,51;-1,594;-1,752
"*schrann_m";7,51;-1,594;-1,752
"*da_silva_v";0,033;-0,002;-0,015
"*moura_j";0,033;-0,002;-0,015
"*bonilla-medina_s";0,033;1,37;-1,752
"*finardi_k";0,033;1,37;-1,752
"*lopes_p";-0,805;-1,061;3,449
"*higa_l";-0,805;-1,061;3,449
"*pinto_c";-1,614;7,607;-2,34
"*pereira_b";0,899;-0,164;-0,24
"*siqueira_j";0,899;-0,164;-0,24
"*déus_f";-0,805;3,793;-1,167
"*dos_santos_e";10,028;-2,128;-2,34
"*barbosa_i";10,028;-2,128;-2,34
"*de_moraes_j";10,028;-2,128;-2,34
"*frança_a";10,028;-2,128;-2,34
"*domingues_c";10,028;-2,128;-2,34
"*teixeira_m";10,028;-2,128;-2,34
"*bezerra_h";10,028;-2,128;-2,34
"*de_medeiros_n";10,028;-2,128;-2,34
"*araújo_m";10,028;-2,128;-2,34
"*fernandes_f";10,028;-2,128;-2,34
"*alexandrino_a";10,028;-2,128;-2,34
"*bezerra_r";10,028;-2,128;-2,34
"*ramos_a";10,028;-2,128;-2,34
"*oliveira_a";10,028;-2,128;-2,34
"*boing_a";22,729;-4,823;-5,304
"*de_oliveira_c";10,028;-2,128;-2,34
"*maciel_e";20,174;-4,281;-4,708
"*guibu_i";10,028;-2,128;-2,34
"*barbosa_j";10,028;-2,128;-2,34
"*lima_j";10,028;-2,128;-2,34
"*luhm_k";10,028;-2,128;-2,34
"*caetano_k";10,028;-2,128;-2,34
"*lima_l";10,028;-2,128;-2,34
"*antunes_m";10,028;-2,128;-2,34
"*borges_m";10,028;-2,128;-2,34
"*queiroz_r";10,028;-2,128;-2,34
"*gurgel_r";10,028;-2,128;-2,34
"*barata_r";10,028;-2,128;-2,34
"*de_azevedo_r";10,028;-2,128;-2,34
"*teles_s";10,028;-2,128;-2,34
"*da_gama_s";10,028;-2,128;-2,34
"*mengue_s";10,028;-2,128;-2,34
"*simões_t";10,028;-2,128;-2,34
"*nascimento_v";10,028;-2,128;-2,34
"*de_araújo_w";10,028;-2,128;-2,34
"*nascimento_d";-1,614;-2,128;6,918
"*ramos_i";4,233;-0,164;-2,34
"*pantoja_g";4,233;-0,164;-2,34
"*ferreira_l";-0,424;2,752;-1,052
"*dos_anjos_j";-0,805;3,793;-1,167
"*vieira_m";-0,805;3,793;-1,167
"*costa_b";6,338;-1,289;-1,538
"*de_lima_brandão_l";6,338;-1,289;-1,538
"*de_carvalho_batista_j";-1,209;1,37;-0,015
"*kyrillos_g";-1,614;2,903;-0,24
"*viana_i";0;0;0
"*de_moraes_c";12,553;-2,664;-2,929
"*peres_r";12,553;-2,664;-2,929
"*barbosa_m";12,553;-2,664;-2,929
"*pedreira_c";12,553;-2,664;-2,929
"*cruvinel_t";-1,209;-0,002;1,158
"*silveira_t";-1,209;-0,002;1,158
"*de_souza_v";-1,614;-2,128;6,918
"*perussatto_m";-0,402;1,894;-0,582
"*ratusniak_c";0,899;0,422;-2,34
"*barbosa_c";-1,614;2,903;-0,24
"*kubota_r";-1,209;5,697;-1,752
"*hibarino_d";-1,209;5,697;-1,752
"*da_silva_j";-1,209;5,697;-1,752
"*gato_m";-3,248;0,03;2,304
"*assis_g";-2,021;-0,474;4,048
"*siqueira_s";-2,021;-0,474;4,048
"*pedroso_g";-0,805;3,793;-1,167
"*lima_t";-0,805;3,793;-1,167
"*de_oliveira_f";-0,805;3,793;-1,167
"*dos_santos_gutterres_a";-0,402;-0,53;1,722
"*barbosa-fohrmann_a";-0,805;-1,061;3,449
"*de_sousa_r";-0,805;0,21;0,151
"*pimentel_m";-0,805;0,21;0,151
"*gantus-oliveira_t";0,899;-2,128;0,303
"*soares_j";12,553;-2,664;-2,929
"*covre-sussai_m";12,553;-2,664;-2,929
"*sento-sé_i";12,553;-2,664;-2,929
"*ferreira_c";-0,805;-1,061;3,449
"*georgini_g";4,233;-0,164;-2,34
"*galinari_l";4,233;-0,164;-2,34
"*bazon_m";4,233;-0,164;-2,34
"*mizrahi_m";0,448;-1,061;0,151
"*2015";1,352;-3,201;0,455
"*da_costa_l";-0,805;3,793;-1,167
"*tittoni_j";-1,209;-0,002;1,158
"*de_castro_d";-1,209;-0,002;1,158
"*de_almeida_a";-1,209;-0,002;1,158
"*domingues_p";-2,837;1,589;0,113
"*2018";6,684;-2,743;-0,624
"*galak_e";-0,402;-0,53;1,722
"*lima_m";2,133;-1,594;-0,015
"*2012";0,665;-0,077;-0,24
"*santos_j";10,028;-2,128;-2,34
"*sales_c";10,028;-2,128;-2,34
"*prado_t";10,028;-2,128;-2,34
"*stelzer_j";-0,805;0,21;0,151
"*de_emílio_circunde_vieira_andrade_d";-1,614;2,903;-0,24
"*teodoro_m";-1,614;2,903;-0,24
"*abrahão_b";-0,402;-0,53;1,722
"*soares_a";-0,402;-0,53;1,722
"*2016";-5,316;-0,086;6,004
"*silva_m";-1,209;1,37;-0,015
"*pereira_r";-0,805;3,793;-1,167
"*xavier_g";-0,402;-0,53;1,722
"*2013";-2,501;1,185;0,167
"*bernardes_m";-0,424;0,635;-0,031
"*santos_e";-0,402;-0,53;1,722
"*pereira_p";-0,402;-0,53;1,722
"*calil_m";-1,614;7,607;-2,34
"*markman_d";-1,614;7,607;-2,34
"*de_andrade_i";-1,209;5,697;-1,752
"*pereira_l";-1,209;-1,594;5,181
"*panta_m";-0,805;0,21;0,151
"*negro_a";-1,209;1,37;-0,015
"*castro_f";-0,805;-1,061;3,449
"*minella_l";0,033;-0,002;-0,015
"*silveira_l";18,7;-5,367;-3,128
"*siqueira_n";12,553;-2,664;-2,929
"*de_melo_a";-1,209;-0,002;1,158
"*de_oliveira_r";-1,209;-0,002;1,158
"*galvão_a";-0,424;2,752;-1,052
"*oliveira_e";0,327;1,967;-3,684
"*germani_a";-0,424;2,752;-1,052
"*luiz_o";0,327;1,967;-3,684
"*oliveira_d";-1,614;-0,164;2,529
"*mallmann_m";12,553;-2,664;-2,929
"*tomasi_y";12,553;-2,664;-2,929
"*anjos_j";12,553;-2,664;-2,929
"*canelas_l";-0,402;-0,53;1,722
"*segnini_l";0,448;-1,061;0,151
"*de_andrade_m";0,065;2,752;-3,52
"*de_castro_pinto_e";0,065;2,752;-3,52
"*gouvêa_m";-1,209;1,37;-0,015
"*xavier_a";-1,209;1,37;-0,015
"*silva_n";2,813;0,213;-4,113
"*barros_s";2,813;0,213;-4,113
"*de_a_f";2,813;0,213;-4,113
"*batista_l";2,813;0,213;-4,113
"*policarpo_v";2,813;0,213;-4,113
"*maia_g";-0,026;-0,164;0,303
"*araújo_r";-0,026;-0,164;0,303
"*oliveira_s";-0,026;-0,164;0,303
"*precioso_d";-0,402;1,894;-0,582
"*de_melo_m";12,553;-2,664;-2,929
"*mesquita_f";12,553;-2,664;-2,929
"*de_azevedo_barros_m";12,553;-2,664;-2,929
"*la-rotta_e";12,553;-2,664;-2,929
"*donalisio_m";12,553;-2,664;-2,929
"*braga_l";-1,209;-1,594;5,181
"*magalhães_m";-1,209;-1,594;5,181
"*schemes_c";-1,209;-1,594;5,181
"*passos_r";-2,837;0,213;1,262
"*espinoza_f";-2,837;0,213;1,262
"*da_s_b_r";-1,209;-0,002;1,158
"*de_m_g";-1,209;-0,002;1,158
"*schneider_a";-0,805;-1,061;3,449
"*hirata_h";0,033;-1,594;1,158
"*zubaran_m";0;0;0
"*guizzo_b";0;0;0
"*de_assis_m";-0,805;-1,061;3,449
"*marques_d";-0,805;-1,061;3,449
"*roble_o";-0,805;-1,061;3,449
"*saraiva_m";-0,805;-1,061;3,449
"*harris_a";-1,614;2,903;-0,24
"*de_camilla_de_magalhães_gomes_t";-1,614;2,903;-0,24
"*conceição_í";-1,614;2,903;-0,24
"*tomas_m";6,503;-2,664;-0,609
"*carvalhaes_f";7,51;-1,594;-1,752
"*ribeiro_c";7,51;-1,594;-1,752
"*barone_a";0;0;0
"*ferreira_m";-1,614;-0,164;2,529
"*eiterer_c";-1,614;-0,164;2,529
"*de_miranda_s";-1,614;-0,164;2,529
"*moutinho_l";0,065;-0,86;0,455
"*candido_m";0,033;-0,002;-0,015
"*júnior_j";0,033;-0,002;-0,015
"*portela_p";0,033;-0,002;-0,015
"*candido_l";6,503;-0,474;-2,929
"*finkler_m";6,503;-0,474;-2,929
"*bastos_j";12,849;-0,497;-7,103
"*de_freitas_s";6,503;-0,474;-2,929
"*noleto_r";-1,209;-1,594;5,181
"*de_melo_g";-1,209;-0,002;1,158
"*ferreira_j";-1,209;-0,002;1,158
"*martins_m";0,899;-2,128;0,303
"*santos_s_k";0,899;-2,128;0,303
"*vasquez_v";0,899;-2,128;0,303
"*ernica_m";4,999;-1,061;-1,167
"*rodrigues_e";4,999;-1,061;-1,167
