"";"classe 1";"classe 2";"classe 3"
"world";-0,026;0,422;-0,24
"trajectory";-1,138;-0,777;3,495
"suggest";0,03;-0,086;0,016
"set";-1,37;11,882;-5,304
"segregation";6,702;-5,912;-0,001
"physical";2,728;-3,722;0,126
"newspaper";-1,614;0,422;0,303
"importance";-3,23;5,569;-0,413
"hand";1,415;0,008;-1,447
"female";10,855;-1,443;-3,624
"eugenics";-2,837;-1,289;7,285
"element";-5,316;-0,777;9,187
"demonstrate";-1,138;-2,161;6,004
"contribution";-3,23;8,57;-1,447
"association";4,578;-3,063;-0,078
"afro";-3,659;4,146;-0,046
"address";-5,316;7,026;-0,205
"view";-4,071;-2,713;12,365
"source";-1,724;9,247;-3,128
"socioeconomic";31,412;-5,285;-8,919
"rural";-0,183;0,391;-0,046
"review";-0,559;10,171;-5,978
"information";17,44;-2,605;-5,396
"increase";17,44;-4,759;-3,108
"image";-3,659;-4,823;15,679
"hiv";15,12;-7,008;-1,069
"effort";-1,138;7,026;-2,607
"central";-2,089;-3,213;9,756
"analyse";2,728;-3,722;0,126
"american";-3,659;11,882;-2,583
"variable";8,645;-3,722;-0,728
"teach";-0,856;5,553;-2,124
"specific";-5,316;0,783;1,661
"space";-2,463;0,27;0,919
"region";1,548;1,967;-6,502
"qualitative";1,015;0,27;-2,124
"post";-1,209;-1,594;5,181
"portuguese";0,311;-0,329;0,002
"notion";-1,614;2,903;-0,24
"model";3,193;-7,558;1,075
"male";27,862;-5,912;-6,502
"interpretation";-1,724;-2,713;8,155
"intend";-2,089;-0,265;3,47
"influence";2,267;-0,955;-0,2
"important";0,009;-0,955;0,764
"country";-5,316;4,252;0,016
"conclusion";15,12;-2,161;-4,82
"compare";15,474;-3,213;-3,684
"colonial";-2,837;-0,113;3,653
"carry";1,548;0,015;-1,662
"call";-0,856;-0,009;0,919
"bring";-5,734;12,216;-1,447
"activity";0,132;-3,722;2,442
"urban";0,7;-3,74;1,262
"teacher";-2,463;17,583;-7,103
"status";4,122;-4,238;0,016
"racist";-4,485;-1,331;9,756
"publish";0;-1,289;1,262
"perception";0,327;-1,331;0,362
"meaning";-4,071;-0,095;4,818
"link";-0,079;0,27;-0,062
"intersectionality";-4,071;1,065;0,764
"hierarchy";-0,183;1,771;-0,83
"educational";0,03;2,171;-2,607
"dimension";0,642;-5,367;2,355
"construct";-2,429;0,635;0,455
"change";3,673;-1,331;-0,434
"brown";10,636;-3,213;-1,662
"addition";-0,598;11,019;-6,502
"95percci";20,174;-4,281;-4,708
"structural";-0,37;0,131;0,045
"service";0,642;-0,095;-0,2
"racialized";-3,659;-4,823;15,679
"position";-0,052;-1,746;2,304
"past";-1,724;-2,713;8,155
"methodology";-2,089;11,019;-3,684
"material";-0,01;-1,331;1,519
"market";0,099;-4,823;3,505
"mark";-2,837;0,213;1,262
"intersection";-1,724;-2,713;8,155
"framework";-4,485;11,019;-1,662
"describe";-0,37;-0,955;2,355
"decolonial";-3,248;5,841;-0,483
"deal";-0,598;-0,265;1,519
"contemporary";-2,089;1,967;-0,001
"conception";-0,183;1,771;-0,83
"common";1,548;0,583;-3,684
"center";-4,9;3,042;0,126
"census";4,886;-2,713;-0,2
"book";-4,071;-0,955;8,155
"argue";-4,9;5,553;-0,062
"affirmative";-4,485;11,019;-1,662
"adolescent";13,102;-0,955;-5,902
"train";-1,724;13,768;-5,902
"speech";-1,209;-0,002;1,158
"sexuality";-1,724;-5,367;12,365
"sex";3,673;-5,912;0,362
"sense";-1,37;11,882;-5,304
"risk";18,7;-5,367;-3,128
"reference";-0,052;5,841;-4,708
"play";0;1,589;-1,538
"place";-0,424;-0,004;0,455
"organization";-3,659;1,771;0,231
"object";-3,659;-0,006;3,505
"mobilize";-3,248;-0,329;5,087
"methodological";-4,071;19,186;-5,902
"medical";-0,026;0,422;-0,24
"human";-0,598;-0,265;1,519
"development";0,065;2,752;-3,52
"characteristic";6,455;-2,222;-0,83
"build";-1,37;-0,006;1,384
"apply";3,673;0,015;-3,684
"anti";-3,248;-0,329;5,087
"wage";8,515;-1,746;-2,051
"transformation";-0,712;-0,113;1,262
"tax";6,503;-2,664;-0,609
"sport";11,276;-3,74;-1,538
"specifically";-3,659;1,771;0,231
"sociological";-4,071;2,895;0,045
"situation";0,009;2,895;-3,128
"racialization";-2,021;-2,664;8,66
"questionnaire";8,515;-0,329;-4,708
"pattern";10,778;-4,823;-0,83
"participation";-0,712;4,241;-1,538
"mental";12,553;-2,664;-2,929
"memory";-2,429;-0,004;2,326
"magazine";-1,614;-2,128;6,918
"long";0,311;0,03;-0,483
"local";0,065;-0,004;-0,031
"literary";-3,248;5,841;-0,483
"line";-0,183;4,146;-2,583
"legal";-4,071;13,768;-3,128
"international";-3,659;4,146;-0,046
"institution";1,116;-0,617;-0,046
"informal";3,234;-2,222;-0,046
"hypothesis";-4,071;2,895;0,045
"global";-1,209;5,697;-1,752
"football";0,899;-2,128;0,303
"figure";-3,248;-1,746;8,958
"ethnicity";0,311;0,03;-0,483
"demographic";0,642;-2,713;0,764
"current";-3,248;0,849;0,609
"community";0,7;-0,113;-0,205
"challenge";-2,837;4,241;-0,205
"type";1,808;-4,281;0,609
"support";2,133;-0,002;-1,752
"story";-2,021;1,437;0,023
"socio";6,338;-3,74;-0,205
"silence";-2,429;0,635;0,455
"significant";0,099;4,146;-5,304
"reproduction";-3,248;0,03;2,304
"represent";-2,429;-0,86;5,644
"remain";1,116;-0,617;-0,046
"religious";-2,429;6,355;-1,052
"purpose";-1,37;-0,006;1,384
"proposal";-0,183;0,391;-0,046
"problem";-1,031;5,841;-2,051
"possibility";-3,248;0,03;2,304
"patient";8,862;-0,86;-3,52
"open";-0,183;0,391;-0,046
"occur";20,174;-4,281;-4,708
"network";0,033;-0,002;-0,015
"nation";-2,429;-3,201;10,407
"medium";-3,248;2,786;0,002
"measure";3,234;-0,006;-2,583
"map";-2,021;4,59;-0,609
"journal";-0,026;-0,164;0,303
"investigation";-1,031;2,786;-0,483
"intersectional";-3,659;0,391;1,384
"general";-1,031;0,849;0,002
"face";-3,659;-0,006;3,505
"explain";-0,052;0,849;-0,483
"empirical";-0,183;0,391;-0,046
"draw";-1,031;10,013;-4,708
"decision";-0,052;-1,746;2,304
"database";6,338;-1,289;-1,538
"daily";-1,209;1,37;-0,015
"criminal";0,311;2,786;-4,708
"cohort";17,626;-3,74;-4,113
"chance";15,086;-3,201;-3,52
"brazilians";-0,712;0,213;0,113
"articulate";-3,248;-4,281;13,917
"argument";-2,429;-3,201;10,407
"affect";4,543;-4,281;0,002
"1930s";-1,614;0,422;0,303
"writer";-1,614;2,903;-0,24
"write";-3,248;5,841;-0,483
"vulnerability";8,515;-4,281;-0,483
"unite";-2,429;0,635;0,455
"tradition";-2,837;4,241;-0,205
"topic";-3,248;2,786;0,002
"territory";-2,021;-0,474;4,048
"start";-2,429;6,355;-1,052
"south";0,033;-0,002;-0,015
"sociology";-2,837;-0,113;3,653
"sexual";11,276;-3,74;-1,538
"regression";20,174;-4,281;-4,708
"read";-2,429;6,355;-1,052
"private";1,808;-0,329;-0,483
"poverty";0,899;-2,128;0,303
"phenomenon";0,311;0,03;-0,483
"participate";-2,021;-2,664;8,66
"participant";0,899;-0,164;-0,24
"origin";1,352;-3,201;0,455
"occupation";0,7;-1,289;0,113
"modernity";-2,021;-2,664;8,66
"modern";-2,429;-0,86;5,644
"light";-2,429;-0,86;5,644
"lead";-2,429;0,635;0,455
"involve";0;-3,74;3,653
"institutional";0,311;0,849;-2,051
"ideology";-1,614;2,903;-0,24
"fundamental";-3,248;10,013;-2,051
"favela";-2,429;-3,201;10,407
"exclusion";0;0,213;-0,205
"event";-2,429;-3,201;10,407
"essay";-1,209;5,697;-1,752
"equity";6,338;-0,113;-4,113
"equality";-0,424;-0,86;2,326
"enable";-0,712;1,589;-0,205
"employ";1,808;-0,329;-0,483
"domination";-1,614;0,422;0,303
"district";17,626;-3,74;-4,113
"disparity";1,808;-0,329;-0,483
"descendant";-1,209;1,37;-0,015
"decade";0;-0,113;0,113
"create";0;4,241;-4,113
"content";-0,712;-3,74;7,285
"constitute";-0,424;-0,86;2,326
"composition";0,311;-4,281;2,304
"collect";0,311;0,849;-2,051
"character";-2,429;-0,004;2,326
"bully";15,086;-3,201;-3,52
"average";17,626;-3,74;-4,113
"attention";-2,837;4,241;-0,205
"articulation";-2,837;-0,113;3,653
"victim";2,425;0,065;-2,929
"user";0,318;0,065;-0,609
"turn";-0,184;4,59;-2,929
"trend";0,318;-0,474;0,023
"treatment";4,233;-0,164;-2,34
"total";6,338;-0,113;-4,113
"survival";12,553;-2,664;-2,929
"suffer";1,352;-0,86;-0,031
"statistical";11,276;-3,74;-1,538
"short";0,899;-0,164;-0,24
"ses";12,553;-2,664;-2,929
"religion";-1,614;7,607;-2,34
"relevant";-2,429;11,444;-3,52
"relevance";-0,026;-0,164;0,303
"reduce";2,425;-0,474;-0,609
"recognition";-2,429;2,752;-0,031
"recent";-0,424;-0,004;0,455
"reason";-2,429;11,444;-3,52
"rate";17,626;-3,74;-4,113
"psychosocial";0,065;-0,004;-0,031
