%%MatrixMarket matrix coordinate integer general
883 1169 12051
1 1 1
3 1 1
4 1 1
5 1 1
6 1 1
8 1 1
9 1 1
10 1 1
11 1 1
19 1 1
21 1 1
46 1 1
54 1 1
57 1 1
58 1 1
60 1 1
61 1 1
62 1 1
64 1 1
71 1 1
78 1 1
80 1 1
81 1 1
84 1 1
88 1 1
89 1 1
94 1 1
96 1 1
110 1 1
124 1 1
126 1 1
130 1 1
145 1 1
147 1 1
149 1 1
150 1 1
155 1 1
157 1 1
169 1 1
175 1 1
176 1 1
188 1 1
201 1 1
202 1 1
203 1 1
204 1 1
208 1 1
225 1 1
230 1 1
232 1 1
234 1 1
236 1 1
237 1 1
251 1 1
252 1 1
259 1 1
260 1 1
261 1 1
263 1 1
265 1 1
286 1 1
287 1 1
288 1 1
292 1 1
293 1 1
305 1 1
307 1 1
320 1 1
335 1 1
346 1 1
353 1 1
372 1 1
373 1 1
374 1 1
375 1 1
389 1 1
398 1 1
401 1 1
404 1 1
416 1 1
417 1 1
450 1 1
455 1 1
457 1 1
458 1 1
461 1 1
465 1 1
466 1 1
470 1 1
471 1 1
472 1 1
474 1 1
482 1 1
499 1 1
510 1 1
519 1 1
521 1 1
522 1 1
526 1 1
530 1 1
533 1 1
534 1 1
535 1 1
538 1 1
547 1 1
559 1 1
562 1 1
563 1 1
564 1 1
572 1 1
574 1 1
575 1 1
576 1 1
578 1 1
585 1 1
586 1 1
587 1 1
588 1 1
594 1 1
599 1 1
605 1 1
606 1 1
607 1 1
608 1 1
610 1 1
620 1 1
624 1 1
628 1 1
629 1 1
642 1 1
643 1 1
645 1 1
646 1 1
655 1 1
665 1 1
701 1 1
703 1 1
705 1 1
710 1 1
718 1 1
719 1 1
722 1 1
728 1 1
729 1 1
731 1 1
734 1 1
736 1 1
737 1 1
749 1 1
750 1 1
751 1 1
753 1 1
755 1 1
759 1 1
760 1 1
761 1 1
763 1 1
771 1 1
772 1 1
777 1 1
784 1 1
786 1 1
789 1 1
790 1 1
794 1 1
812 1 1
815 1 1
817 1 1
828 1 1
843 1 1
844 1 1
845 1 1
846 1 1
847 1 1
857 1 1
859 1 1
860 1 1
865 1 1
867 1 1
868 1 1
869 1 1
870 1 1
873 1 1
875 1 1
13 2 1
46 2 1
49 2 1
52 2 1
53 2 1
61 2 1
63 2 1
68 2 1
83 2 1
91 2 1
92 2 1
97 2 1
101 2 1
102 2 1
109 2 1
116 2 1
119 2 1
123 2 1
127 2 1
131 2 1
132 2 1
141 2 1
142 2 1
151 2 1
153 2 1
160 2 1
162 2 1
166 2 1
168 2 1
171 2 1
173 2 1
177 2 1
181 2 1
192 2 1
196 2 1
205 2 1
209 2 1
220 2 1
222 2 1
227 2 1
228 2 1
229 2 1
241 2 1
245 2 1
250 2 1
254 2 1
255 2 1
257 2 1
258 2 1
262 2 1
266 2 1
271 2 1
272 2 1
281 2 1
283 2 1
285 2 1
290 2 1
291 2 1
298 2 1
303 2 1
306 2 1
307 2 1
318 2 1
320 2 1
321 2 1
333 2 1
334 2 1
336 2 1
340 2 1
342 2 1
349 2 1
351 2 1
359 2 1
365 2 1
368 2 1
379 2 1
381 2 1
382 2 1
383 2 1
390 2 1
394 2 1
396 2 1
398 2 1
400 2 1
403 2 1
413 2 1
419 2 1
420 2 1
422 2 1
425 2 1
429 2 1
446 2 1
451 2 1
457 2 1
461 2 1
469 2 1
480 2 1
482 2 1
488 2 1
489 2 1
490 2 1
495 2 1
498 2 1
500 2 1
508 2 1
514 2 1
516 2 1
519 2 1
521 2 1
523 2 1
526 2 1
531 2 1
543 2 1
546 2 1
547 2 1
550 2 1
557 2 1
558 2 1
561 2 1
565 2 1
567 2 1
570 2 1
572 2 1
573 2 1
575 2 1
577 2 1
582 2 1
583 2 1
597 2 1
614 2 1
626 2 1
631 2 1
633 2 1
635 2 1
640 2 1
642 2 1
648 2 1
649 2 1
659 2 1
660 2 1
661 2 1
663 2 1
670 2 1
672 2 1
679 2 1
685 2 1
690 2 1
697 2 1
700 2 1
702 2 1
708 2 1
710 2 1
721 2 1
724 2 1
726 2 1
727 2 1
728 2 1
732 2 1
737 2 1
742 2 1
744 2 1
751 2 1
757 2 1
759 2 1
764 2 1
766 2 1
769 2 1
777 2 1
778 2 1
779 2 1
780 2 1
782 2 1
783 2 1
785 2 1
787 2 1
791 2 1
799 2 1
803 2 1
805 2 1
806 2 1
807 2 1
808 2 1
810 2 1
824 2 1
825 2 1
827 2 1
828 2 1
830 2 1
831 2 1
832 2 1
835 2 1
836 2 1
838 2 1
843 2 1
846 2 1
848 2 1
855 2 1
856 2 1
858 2 1
860 2 1
861 2 1
862 2 1
864 2 1
865 2 1
866 2 1
867 2 1
868 2 1
869 2 1
876 2 1
881 2 1
882 2 1
3 3 1
9 3 1
15 3 1
16 3 1
19 3 1
26 3 1
35 3 1
39 3 1
49 3 1
62 3 1
63 3 1
72 3 1
82 3 1
84 3 1
90 3 1
103 3 1
115 3 1
116 3 1
124 3 1
127 3 1
128 3 1
135 3 1
149 3 1
151 3 1
152 3 1
158 3 1
159 3 1
166 3 1
171 3 1
174 3 1
180 3 1
184 3 1
187 3 1
190 3 1
201 3 1
205 3 1
211 3 1
219 3 1
223 3 1
227 3 1
235 3 1
239 3 1
243 3 1
244 3 1
246 3 1
251 3 1
269 3 1
277 3 1
281 3 1
288 3 1
294 3 1
308 3 1
309 3 1
316 3 1
322 3 1
327 3 1
330 3 1
334 3 1
339 3 1
342 3 1
344 3 1
346 3 1
354 3 1
357 3 1
368 3 1
375 3 1
377 3 1
383 3 1
387 3 1
389 3 1
391 3 1
407 3 1
408 3 1
412 3 1
415 3 1
417 3 1
418 3 1
419 3 1
422 3 1
443 3 1
445 3 1
448 3 1
450 3 1
451 3 1
466 3 1
469 3 1
470 3 1
478 3 1
482 3 1
484 3 1
485 3 1
488 3 1
490 3 1
499 3 1
502 3 1
506 3 1
507 3 1
508 3 1
512 3 1
514 3 1
515 3 1
518 3 1
528 3 1
533 3 1
545 3 1
546 3 1
550 3 1
551 3 1
554 3 1
562 3 1
567 3 1
575 3 1
579 3 1
581 3 1
586 3 1
592 3 1
594 3 1
596 3 1
615 3 1
620 3 1
621 3 1
624 3 1
631 3 1
648 3 1
661 3 1
662 3 1
663 3 1
665 3 1
667 3 1
670 3 1
677 3 1
680 3 1
682 3 1
683 3 1
687 3 1
691 3 1
700 3 1
722 3 1
724 3 1
725 3 1
727 3 1
732 3 1
749 3 1
754 3 1
755 3 1
759 3 1
773 3 1
783 3 1
787 3 1
804 3 1
811 3 1
815 3 1
823 3 1
835 3 1
843 3 1
845 3 1
846 3 1
848 3 1
849 3 1
852 3 1
855 3 1
861 3 1
864 3 1
869 3 1
870 3 1
873 3 1
874 3 1
875 3 1
880 3 1
5 4 1
6 4 1
9 4 1
10 4 1
19 4 1
35 4 1
36 4 1
38 4 1
40 4 1
46 4 1
49 4 1
51 4 1
57 4 1
63 4 1
64 4 1
74 4 1
90 4 1
91 4 1
103 4 1
106 4 1
111 4 1
112 4 1
114 4 1
115 4 1
117 4 1
122 4 1
128 4 1
129 4 1
130 4 1
132 4 1
146 4 1
151 4 1
153 4 1
174 4 1
181 4 1
182 4 1
207 4 1
227 4 1
228 4 1
231 4 1
266 4 1
272 4 1
279 4 1
306 4 1
316 4 1
324 4 1
328 4 1
338 4 1
340 4 1
349 4 1
351 4 1
364 4 1
387 4 1
389 4 1
390 4 1
393 4 1
394 4 1
396 4 1
397 4 1
406 4 1
