"";"V1"
"639";3
"640";3
"641";1
"642";1
"643";3
"644";0
"645";1
"646";1
"647";3
"648";3
"649";3
"650";3
"651";1
"652";1
"653";1
"654";1
"655";1
"656";1
"657";1
"658";1
"659";1
"660";1
"661";2
"662";1
"663";1
"664";2
"665";0
"666";0
"667";2
"668";2
"669";2
"670";3
"671";2
"672";3
"673";0
"674";2
"675";0
"676";0
"677";0
"678";3
"679";3
"680";0
"681";0
"682";3
"683";0
"684";3
"685";3
"686";3
"687";2
"688";3
"689";2
"690";2
"691";2
"692";3
"693";2
"694";3
"695";0
"696";0
"697";2
"698";2
"699";3
"700";3
"701";1
"702";1
"703";1
"704";2
"705";0
"706";0
"707";2
"708";0
"709";0
"710";3
"711";3
"712";2
"713";0
"714";3
"715";2
"716";1
"717";2
"718";1
"719";3
"720";2
"721";3
"722";2
"723";3
"724";0
"725";0
"726";0
"727";1
"728";1
"729";1
"730";0
"731";1
"732";0
"733";1
"734";2
"735";0
"736";2
"737";3
"738";0
"739";0
"740";2
"741";1
"742";1
"743";1
"744";1
"745";1
"746";1
"747";1
"748";1
"749";1
"750";0
"751";2
"752";1
"753";0
"754";3
"755";2
"756";0
"757";3
"758";2
"759";3
"760";0
"761";3
"762";0
"763";2
"764";1
"765";1
"766";2
"767";1
"768";1
"769";1
"770";2
"771";0
"772";0
"773";0
"774";1
"775";1
"776";1
"777";1
"778";0
"779";3
"780";1
"781";0
"782";0
"783";1
"784";2
"785";1
"786";2
"787";3
"788";1
"789";1
"790";1
"791";3
"792";0
"793";3
"794";2
"795";0
"796";0
"797";1
"798";2
"799";2
"800";3
"801";2
"802";2
"803";1
"804";2
"805";3
"806";2
"807";2
"808";0
"809";2
"810";2
"811";0
"812";1
"813";1
"814";0
"815";2
"816";1
"817";1
"818";1
"819";1
"820";1
"821";1
"822";1
"823";1
"824";3
"825";3
"826";1
"827";1
"828";1
"829";1
"830";1
"831";1
"832";1
"833";1
"834";1
"835";1
"836";3
"837";3
"838";1
"839";0
"840";2
"841";2
"842";2
"843";2
"844";2
"845";3
"846";2
"847";2
"848";3
"849";3
"850";3
"851";2
"852";3
"853";3
"854";1
"855";3
"856";3
"857";2
"858";3
"859";3
"860";3
"861";2
"862";1
"863";1
"864";1
"865";3
"866";3
"867";3
"868";3
"869";2
"870";3
"871";2
"872";1
"873";0
"874";0
"875";3
"876";3
"877";0
"878";2
"879";0
"880";0
"881";3
"882";3
"883";3
