"";"";"";"";"*de_souza_f";""
"1";"*de_souza_f";"2.62699622040106";"-0.225397279711269";"2.27503518581916";"10"
"2";"*santana_e_s_c";"2.62699622040106";"-0.225397279711269";"2.06247479934573";"11"
"3";"*vilela_e";"2.62699622040106";"-0.225397279711269";"2.06247479934573";"12"
"4";"*de_oliveira_v";"2.62699622040106";"-0.225397279711269";"2.06247479934573";"13"
"5";"*francisco_p";"2.62699622040106";"-0.225397279711269";"2.06247479934573";"15"
"6";"*barros_m";"2.62699622040106";"-0.225397279711269";"2.06247479934573";"16"
"7";"*senkevics_a";"2.14837590784839";"-0.51013911888291";"1.94866293887177";"17"
"8";"*santana_b";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"20"
"9";"*muraro_a";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"22"
"10";"*de_moraes_c";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"23"
"11";"*peres_r";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"24"
"12";"*barbosa_m";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"25"
"13";"*pedreira_c";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"26"
"14";"*covre-sussai_m";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"28"
"15";"*sento-sé_i";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"29"
"16";"*siqueira_n";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"30"
"17";"*mallmann_m";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"31"
"18";"*tomasi_y";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"32"
"19";"*anjos_j";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"33"
"20";"*de_melo_m";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"34"
"21";"*mesquita_f";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"35"
"22";"*de_azevedo_barros_m";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"36"
"23";"*la-rotta_e";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"37"
"24";"*donalisio_m";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"38"
"25";"*taquette_s";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"39"
"26";"*de_andrade_c";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"40"
"27";"*dachs_j";"2.62699622040106";"-0.225397279711269";"1.85050020921298";"41"
"28";"*dos_santos_e";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"43"
"29";"*barbosa_i";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"44"
"30";"*de_moraes_j";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"45"
"31";"*frança_a";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"46"
"32";"*domingues_c";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"47"
"33";"*teixeira_m";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"48"
"34";"*bezerra_h";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"49"
"35";"*de_medeiros_n";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"50"
"36";"*araújo_m";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"51"
"37";"*fernandes_f";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"52"
"38";"*alexandrino_a";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"53"
"39";"*bezerra_r";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"54"
"40";"*ramos_a";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"55"
"41";"*oliveira_a";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"56"
"42";"*de_oliveira_c";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"57"
"43";"*guibu_i";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"58"
"44";"*barbosa_j";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"59"
"45";"*lima_j";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"60"
"46";"*luhm_k";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"61"
"47";"*caetano_k";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"62"
"48";"*lima_l";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"63"
"49";"*antunes_m";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"64"
"50";"*borges_m";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"65"
"51";"*queiroz_r";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"66"
"52";"*gurgel_r";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"67"
"53";"*barata_r";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"68"
"54";"*de_azevedo_r";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"69"
"55";"*teles_s";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"70"
"56";"*da_gama_s";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"71"
"57";"*mengue_s";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"72"
"58";"*simões_t";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"73"
"59";"*nascimento_v";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"74"
"60";"*de_araújo_w";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"75"
"61";"*sales_c";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"77"
"62";"*prado_t";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"78"
"63";"*alves_f";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"79"
"64";"*ortigão_i";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"80"
"65";"*franco_c";"2.62699622040106";"-0.225397279711269";"1.63919510061242";"81"
"66";"*de_jesus_g";"2.62699622040106";"-0.225397279711269";"1.42847578835254";"94"
"67";"*hibarino_d";"-1.20196628002029";"-2.50333199308439";"1.27675453611777";"117"
"68";"*da_silva_j";"-1.20196628002029";"-2.50333199308439";"1.27675453611777";"118"
"69";"*popinigis_f";"-1.20196628002029";"-2.50333199308439";"1.27675453611777";"120"
"70";"*terra_p";"-1.20196628002029";"-2.50333199308439";"1.27675453611777";"121"
"71";"*calvo-gonzález_e";"-1.20196628002029";"-2.50333199308439";"1.27675453611777";"122"
"72";"*schemes_c";"-0.92929451180251";"2.41984676492325";"1.23357297729088";"140"
"73";"*noleto_r";"-0.92929451180251";"2.41984676492325";"1.23357297729088";"141"
"74";"*frança_i";"-0.92929451180251";"2.41984676492325";"1.23357297729088";"144"
"75";"*macedo_m";"-0.92929451180251";"2.41984676492325";"1.23357297729088";"145"
"76";"*dos_anjos_j";"-1.20196628002029";"-2.50333199308439";"1.11741793145422";"153"
"77";"*pedroso_g";"-1.20196628002029";"-2.50333199308439";"1.11741793145422";"155"
"78";"*de_oliveira_f";"-1.20196628002029";"-2.50333199308439";"1.11741793145422";"157"
"79";"*da_costa_l";"-1.20196628002029";"-2.50333199308439";"1.11741793145422";"158"
"80";"*mariz_s";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"162"
"81";"*vasconcelos_f";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"163"
"82";"*zullo_g";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"164"
"83";"*almeida_p";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"165"
"84";"*conte_g_p";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"166"
"85";"*pizzinato_a";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"167"
"86";"*pierobon_c";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"168"
"87";"*fernandes_c";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"169"
"88";"*afonso_m";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"170"
"89";"*balaban_m";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"171"
"90";"*lopes_p";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"172"
"91";"*higa_l";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"173"
"92";"*barbosa-fohrmann_a";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"174"
"93";"*ferreira_c";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"175"
"94";"*castro_f";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"176"
"95";"*schneider_a";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"177"
"96";"*de_assis_m";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"178"
"97";"*marques_d";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"179"
"98";"*roble_o";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"180"
"99";"*saraiva_m";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"181"
"100";"*lapera_p";"-0.92929451180251";"2.41984676492325";"1.08863022556963";"182"
"101";"*ducatti_i";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"218"
"102";"*ribeiro_a";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"220"
"103";"*flaherty-echeverría_s";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"221"
"104";"*de_oliveira_l";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"222"
"105";"*perussatto_m";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"223"
"106";"*precioso_d";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"224"
"107";"*de_novaes_marques_t";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"225"
"108";"*hora_g_j";"-1.20196628002029";"-2.50333199308439";"0.958499752748298";"226"
"109";"*do_bonfim_m";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"228"
"110";"*munareto_g";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"229"
"111";"*dos_santos_gutterres_a";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"230"
"112";"*galak_e";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"231"
"113";"*abrahão_b";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"232"
"114";"*soares_a";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"233"
"115";"*xavier_g";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"234"
"116";"*santos_e";"-0.92929451180251";"2.41984676492325";"0.944105899806003";"235"
