"";"Coord. facteur 1";"Coord. facteur 2";"Corr. facteur 1";"Corr. facteur 2";"COR -facteur 1";"COR -facteur 2";"CTR -facteur 1";"CTR -facteur 2";"mass";"chi.distance";"inertie"
"classe 1";1,57180275424972;-0,108352750774745;0,997632394689344;-0,0687721241958154;0,996941848717217;0,00305815128278368;0,709462397426446;0,00337142244597318;0,287166180127581;0,941893347544541;0,254763232302178
"classe 2";-0,719168872333878;-1,20339920650587;-0,512989329674651;-0,858394983466208;0,356196848641327;0,643803151358671;0,174414408148674;0,488359945835539;0,337225646015785;0,720982033932529;0,175294980631163
"classe 3";-0,556021992653396;1,16326627263947;-0,431251762073963;0,902231631959389;0,261410687234162;0,738589312765841;0,11612319442488;0,508268631718488;0,375608173856633;0,650682157335536;0,159027719271829
