"";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol";"newcol"
"151";3;5;6;9;10;13;15;16;18
"152";3;5;7;7;7;7;7;7;7
"153";3;5;6;9;10;13;15;16;18
"154";3;5;6;9;10;13;14;14;14
"155";3;5;7;7;7;7;7;7;7
"156";3;5;7;7;7;7;7;7;7
"157";3;5;6;9;10;13;14;14;14
"158";3;5;7;7;7;7;7;7;7
"159";3;5;6;9;10;13;15;16;18
"160";3;5;6;9;10;13;15;16;18
"161";3;4;4;4;4;4;4;4;4
"162";3;4;4;4;4;4;4;4;4
"163";3;5;7;7;7;7;7;7;7
"164";3;4;4;4;4;4;4;4;4
"165";3;4;4;4;4;4;4;4;4
"166";3;5;6;9;10;13;15;16;18
"167";3;4;4;4;4;4;4;4;4
"168";3;4;4;4;4;4;4;4;4
"169";3;5;6;9;10;13;15;17;17
"170";3;5;7;7;7;7;7;7;7
"171";3;5;6;9;10;13;15;16;18
"172";3;4;4;4;4;4;4;4;4
"173";3;4;4;4;4;4;4;4;4
"174";3;4;4;4;4;4;4;4;4
"175";3;5;6;9;10;13;15;16;18
"176";3;5;6;9;10;13;15;16;18
"177";3;5;6;9;10;13;15;16;18
"178";3;5;7;7;7;7;7;7;7
"179";3;5;7;7;7;7;7;7;7
"180";3;5;7;7;7;7;7;7;7
"181";3;5;6;9;10;13;15;16;18
"182";3;5;6;9;10;13;15;16;18
"183";3;5;6;9;10;13;15;17;17
"184";3;5;6;9;10;13;15;16;18
"185";3;5;6;9;10;13;14;14;14
"186";3;5;6;9;10;13;14;14;14
"187";3;5;6;9;10;13;14;14;14
"188";3;5;6;9;10;13;15;16;18
"189";3;5;6;9;10;13;15;17;17
"190";3;5;7;7;7;7;7;7;7
"191";3;5;6;9;10;13;14;14;14
"192";3;5;6;9;10;13;15;16;18
"193";3;4;4;4;4;4;4;4;4
"194";3;4;4;4;4;4;4;4;4
"195";3;4;4;4;4;4;4;4;4
"196";3;4;4;4;4;4;4;4;4
"197";3;4;4;4;4;4;4;4;4
"198";3;4;4;4;4;4;4;4;4
"199";3;4;4;4;4;4;4;4;4
"200";3;4;4;4;4;4;4;4;4
"201";3;5;6;9;10;13;15;16;18
"202";3;5;7;7;7;7;7;7;7
"203";3;4;4;4;4;4;4;4;4
"204";3;5;6;9;10;13;15;16;18
"205";3;5;6;9;10;13;15;16;18
"206";3;5;7;7;7;7;7;7;7
"207";3;5;6;9;10;13;14;14;14
"208";3;5;6;9;10;13;15;16;18
"209";3;4;4;4;4;4;4;4;4
"210";3;5;6;9;10;13;14;14;14
"211";3;5;7;7;7;7;7;7;7
"212";3;5;6;9;10;13;14;14;14
"213";3;5;7;7;7;7;7;7;7
"214";3;5;6;9;10;13;15;16;18
"215";3;5;6;9;10;13;15;16;18
"216";3;5;6;9;10;13;14;14;14
"217";3;5;6;9;10;13;15;16;18
"218";3;5;6;9;10;13;15;17;17
"219";3;5;6;9;10;13;15;17;17
"220";3;5;6;9;10;13;15;16;18
"221";3;5;6;8;8;8;8;8;8
"222";3;5;6;9;10;13;15;17;17
"223";3;5;6;9;10;13;15;16;18
"224";3;5;6;9;10;13;15;16;19
"225";3;5;6;9;10;13;15;16;18
"226";3;5;6;9;10;13;15;16;18
"227";3;5;6;9;10;13;15;16;18
"228";3;5;6;9;10;13;15;16;18
"229";3;5;6;9;10;13;15;16;18
"230";3;5;7;7;7;7;7;7;7
"231";3;5;6;9;10;13;14;14;14
"232";3;5;6;9;10;13;14;14;14
"233";3;5;6;9;10;13;14;14;14
"234";3;5;6;9;10;13;14;14;14
"235";3;5;6;9;10;13;14;14;14
"236";3;5;6;9;10;13;14;14;14
"237";3;5;6;9;10;13;14;14;14
"238";3;5;7;7;7;7;7;7;7
"239";3;5;6;9;10;13;15;16;18
"240";3;5;6;9;10;13;15;16;18
"241";3;5;6;9;10;13;14;14;14
"242";3;5;6;9;10;13;14;14;14
"243";3;4;4;4;4;4;4;4;4
"244";3;5;6;9;10;13;15;16;18
"245";3;5;6;9;10;13;14;14;14
"246";3;5;6;9;10;13;15;17;17
"247";3;5;7;7;7;7;7;7;7
"248";3;5;6;9;10;13;14;14;14
"249";3;5;6;9;10;13;14;14;14
"250";3;5;6;9;10;13;14;14;14
"251";3;5;6;9;10;13;14;14;14
"252";3;5;6;9;10;13;14;14;14
"253";3;5;6;9;10;13;14;14;14
"254";3;4;4;4;4;4;4;4;4
"255";3;4;4;4;4;4;4;4;4
"256";3;4;4;4;4;4;4;4;4
"257";3;4;4;4;4;4;4;4;4
"258";3;4;4;4;4;4;4;4;4
"259";3;4;4;4;4;4;4;4;4
"260";3;4;4;4;4;4;4;4;4
"261";3;4;4;4;4;4;4;4;4
"262";3;5;6;9;10;13;15;16;18
"263";3;4;4;4;4;4;4;4;4
"264";3;5;6;9;10;13;14;14;14
"265";3;5;6;9;10;13;15;17;17
"266";3;5;6;9;10;13;14;14;14
"267";3;5;6;9;10;13;15;17;17
"268";3;5;6;9;10;13;15;17;17
"269";3;5;6;9;10;13;14;14;14
"270";3;4;4;4;4;4;4;4;4
"271";3;5;6;9;10;13;15;16;18
"272";3;5;6;9;10;13;15;16;18
"273";3;5;6;9;10;13;15;17;17
"274";3;5;6;9;10;13;14;14;14
"275";3;5;7;7;7;7;7;7;7
"276";3;5;6;9;11;11;11;11;11
"277";3;5;6;9;10;13;14;14;14
"278";3;5;6;9;10;13;14;14;14
"279";3;5;6;9;11;11;11;11;11
"280";3;5;6;9;10;13;14;14;14
"281";3;5;6;9;10;13;15;16;18
"282";3;4;4;4;4;4;4;4;4
"283";3;4;4;4;4;4;4;4;4
"284";3;5;6;9;10;13;14;14;14
"285";3;5;7;7;7;7;7;7;7
"286";3;5;7;7;7;7;7;7;7
"287";3;5;7;7;7;7;7;7;7
"288";3;5;6;9;10;13;14;14;14
"289";3;5;6;9;10;13;14;14;14
"290";3;4;4;4;4;4;4;4;4
"291";3;4;4;4;4;4;4;4;4
"292";3;4;4;4;4;4;4;4;4
"293";3;4;4;4;4;4;4;4;4
"294";3;5;6;9;10;13;15;16;18
"295";3;5;6;9;10;13;15;16;18
"296";3;5;6;9;10;13;15;16;18
"297";3;5;6;9;10;13;15;16;19
"298";3;5;6;9;10;13;15;16;18
"299";3;5;6;9;10;13;15;17;17
"300";3;5;6;9;10;13;15;17;17
"301";3;5;6;9;10;13;14;14;14
"302";3;4;4;4;4;4;4;4;4
"303";3;4;4;4;4;4;4;4;4
